,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,avg_duration
388,2017-18,Mines  and Minerals Department,To be Opened,Goods,180.0
389,2017-18,National Health Mission,AOC,Goods,150.0
390,2017-18,National Health Mission,AOC,Services,180.0
391,2017-18,National Health Mission,AOC,Works,225.0
392,2017-18,National Health Mission,Financial Bid Opening,Goods,150.0
393,2017-18,National Health Mission,Financial Bid Opening,Works,180.0
394,2017-18,National Health Mission,Financial Evaluation,Goods,160.0
395,2017-18,National Health Mission,Technical Evaluation,Goods,124.54545454545455
396,2017-18,National Health Mission,Technical Evaluation,Services,150.0
397,2017-18,National Health Mission,Technical Evaluation,Works,189.0625
398,2017-18,National Health Mission,To be Opened,Goods,128.57142857142858
399,2017-18,National Health Mission,To be Opened,Services,150.0
400,2017-18,National Health Mission,To be Opened,Works,189.0
401,2017-18,Office of the Chief Electoral Officer Assam,Financial Evaluation,Goods,730.0
402,2017-18,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Evaluation,Works,45.0
403,2017-18,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Works,30.0
404,2017-18,Pr. Chief Conservator of Forest and Head of Forest Force,To be Opened,Works,45.0
405,2017-18,Principal Secretary- P and RD- Assam Secretariat,AOC,Goods,157.5
406,2017-18,Principal Secretary- P and RD- Assam Secretariat,AOC,Services,97.5
407,2017-18,Principal Secretary- P and RD- Assam Secretariat,Evaluation,Services,45.0
408,2017-18,Principal Secretary- P and RD- Assam Secretariat,Technical Bid Opening,Goods,180.0
409,2017-18,Principal Secretary- P and RD- Assam Secretariat,Technical Bid Opening,Services,90.0
410,2017-18,Principal Secretary- P and RD- Assam Secretariat,Technical Evaluation,Goods,180.0
411,2017-18,Principal Secretary- P and RD- Assam Secretariat,Technical Evaluation,Works,180.0
412,2017-18,Principal Secretary- P and RD- Assam Secretariat,To be Opened,Goods,180.0
413,2017-18,Principal Secretary- P and RD- Assam Secretariat,To be Opened,Works,180.0
414,2017-18,Principal Secretary-Department of Information Technology,AOC,Goods,180.0
415,2017-18,Principal Secretary-Department of Information Technology,AOC,Services,150.0
416,2017-18,Principal Secretary-Department of Information Technology,AOC,Works,135.0
417,2017-18,Principal Secretary-Department of Information Technology,Evaluation,Goods,180.0
418,2017-18,Principal Secretary-Department of Information Technology,Evaluation,Services,120.0
419,2017-18,Principal Secretary-Department of Information Technology,Financial Bid Opening,Goods,180.0
420,2017-18,Principal Secretary-Department of Information Technology,Financial Evaluation,Goods,180.0
421,2017-18,Principal Secretary-Department of Information Technology,Financial Evaluation,Services,142.5
422,2017-18,Principal Secretary-Department of Information Technology,Financial Evaluation,Works,105.0
423,2017-18,Principal Secretary-Department of Information Technology,Technical Evaluation,Goods,180.0
424,2017-18,Principal Secretary-Department of Information Technology,Technical Evaluation,Services,180.0
425,2017-18,Principal Secretary-Department of Information Technology,To be Opened,Goods,180.0
426,2017-18,Principal Secretary-Department of Information Technology,To be Opened,Services,180.0
427,2017-18,Principal Secretary-Department of Information Technology,To be Opened,Works,180.0
428,2017-18,Printing and Stationery Department,Technical Evaluation,Goods,135.0
429,2017-18,Printing and Stationery Department,To be Opened,Goods,180.0
430,2017-18,Public Health Engineering Department,AOC,Goods,60.0
431,2017-18,Public Health Engineering Department,AOC,Services,157.5
432,2017-18,Public Health Engineering Department,AOC,Works,77.14285714285714
433,2017-18,Public Health Engineering Department,Financial Bid Opening,Works,180.0
434,2017-18,Public Health Engineering Department,Financial Evaluation,Goods,60.0
435,2017-18,Public Health Engineering Department,Technical Bid Opening,Goods,60.0
436,2017-18,Public Health Engineering Department,Technical Evaluation,Goods,95.93333333333334
437,2017-18,Public Health Engineering Department,Technical Evaluation,Works,180.0
438,2017-18,Public Health Engineering Department,To be Opened,Goods,75.0
439,2017-18,Public Health Engineering Department,To be Opened,Services,120.0
440,2017-18,Public Health Engineering Department,To be Opened,Works,180.0
441,2017-18,Public Works Building and NH Department,AOC,Works,180.16483516483515
442,2017-18,Public Works Building and NH Department,Financial Bid Opening,Works,180.0
443,2017-18,Public Works Building and NH Department,Financial Evaluation,Goods,180.0
444,2017-18,Public Works Building and NH Department,Financial Evaluation,Works,180.0
445,2017-18,Public Works Building and NH Department,Technical Bid Opening,Works,180.0
446,2017-18,Public Works Building and NH Department,Technical Evaluation,Works,180.0
447,2017-18,Public Works Building and NH Department,To be Opened,Works,178.91129032258064
448,2017-18,Public Works Roads Department,AOC,Works,94.57627118644068
449,2017-18,Public Works Roads Department,Financial Bid Opening,Works,176.43243243243242
450,2017-18,Public Works Roads Department,Financial Evaluation,Works,106.25
451,2017-18,Public Works Roads Department,Technical Bid Opening,Works,94.18604651162791
452,2017-18,Public Works Roads Department,Technical Evaluation,Goods,180.0
453,2017-18,Public Works Roads Department,Technical Evaluation,Works,172.91803278688525
454,2017-18,Public Works Roads Department,To be Opened,Goods,60.0
455,2017-18,Public Works Roads Department,To be Opened,Services,180.0
456,2017-18,Public Works Roads Department,To be Opened,Works,171.91616766467067
457,2017-18,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Goods,90.0
458,2017-18,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Services,150.0
459,2017-18,Rashtriya Madhyamik Siksha Abhijan,Technical Evaluation,Goods,110.0
460,2017-18,Rashtriya Madhyamik Siksha Abhijan,Technical Evaluation,Services,162.0
461,2017-18,Rashtriya Madhyamik Siksha Abhijan,Technical Evaluation,Works,137.3684210526316
462,2017-18,Rashtriya Madhyamik Siksha Abhijan,To be Opened,Goods,120.0
463,2017-18,Rashtriya Madhyamik Siksha Abhijan,To be Opened,Services,180.0
464,2017-18,Rashtriya Madhyamik Siksha Abhijan,To be Opened,Works,110.0
465,2017-18,SECONDARY EDUCATION DEPARTMENT ASSAM,Financial Bid Opening,Goods,365.0
466,2017-18,SECONDARY EDUCATION DEPARTMENT ASSAM,To be Opened,Goods,161.66666666666666
467,2017-18,Skill Employment and Entrepreneurship Department,Evaluation,Works,90.0
468,2017-18,Skill Employment and Entrepreneurship Department,Financial Bid Opening,Services,120.0
469,2017-18,Skill Employment and Entrepreneurship Department,Technical Evaluation,Services,120.0
470,2017-18,Skill Employment and Entrepreneurship Department,Technical Evaluation,Works,180.0
471,2017-18,Skill Employment and Entrepreneurship Department,To be Opened,Services,112.5
472,2017-18,Skill Employment and Entrepreneurship Department,To be Opened,Works,180.0
473,2017-18,Social Welfare Department,Financial Evaluation,Services,120.0
474,2017-18,Soil Conservation Department,AOC,Works,180.0
475,2017-18,Soil Conservation Department,Financial Bid Opening,Works,180.0
476,2017-18,Soil Conservation Department,Financial Evaluation,Works,213.75
477,2017-18,Soil Conservation Department,Technical Evaluation,Works,198.0
478,2017-18,Soil Conservation Department,To be Opened,Works,180.0
479,2017-18,Taxation Department,Technical Evaluation,Goods,45.0
480,2017-18,Tea Tribes Welfare Department,AOC,Goods,60.0
481,2017-18,Tea Tribes Welfare Department,AOC,Works,180.0
482,2017-18,Tea Tribes Welfare Department,To be Opened,Goods,45.0
483,2017-18,Tea Tribes Welfare Department,To be Opened,Works,90.0
484,2017-18,Urban Development Department,AOC,Works,120.0
485,2017-18,Urban Development Department,Financial Evaluation,Works,120.0
486,2017-18,Urban Development Department,Technical Bid Opening,Works,140.0
487,2017-18,Urban Development Department,Technical Evaluation,Works,120.0
488,2017-18,Urban Development Department,To be Opened,Services,90.0
489,2017-18,Welfare of Minorities Development Department,Financial Bid Opening,Goods,213.75
490,2017-18,Welfare of Minorities Development Department,Financial Evaluation,Goods,255.0
491,2017-18,Welfare of Minorities Development Department,Technical Bid Opening,Goods,255.0
492,2017-18,Welfare of Minorities Development Department,To be Opened,Goods,305.0
493,2017-18,Welfare of Plain Tribes and Backward Classes,AOC,Goods,90.0
494,2017-18,Welfare of Plain Tribes and Backward Classes,AOC,Works,180.0
495,2017-18,Welfare of Plain Tribes and Backward Classes,Evaluation,Services,90.0
496,2017-18,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,365.0
497,2017-18,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Works,180.0
498,2017-18,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,289.5
499,2017-18,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,180.0
500,2017-18,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Goods,147.33333333333334
501,2017-18,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Services,365.0
502,2017-18,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Works,180.0
503,2017-18,Welfare of Plain Tribes and Backward Classes,To be Opened,Goods,262.14285714285717
504,2017-18,Welfare of Plain Tribes and Backward Classes,To be Opened,Services,272.5
505,2017-18,Welfare of Plain Tribes and Backward Classes,To be Opened,Works,180.0
506,2018-19,Animal Husbandry and Veterinary Department,AOC,Goods,85.83333333333333
507,2018-19,Animal Husbandry and Veterinary Department,AOC,Services,337.0
508,2018-19,Animal Husbandry and Veterinary Department,Financial Bid Opening,Goods,328.0
509,2018-19,Animal Husbandry and Veterinary Department,Financial Bid Opening,Services,180.0
510,2018-19,Animal Husbandry and Veterinary Department,Financial Bid Opening,Works,174.54545454545453
511,2018-19,Animal Husbandry and Veterinary Department,Financial Evaluation,Works,90.0
512,2018-19,Animal Husbandry and Veterinary Department,Technical Bid Opening,Services,180.0
513,2018-19,Animal Husbandry and Veterinary Department,Technical Evaluation,Goods,340.4
514,2018-19,Animal Husbandry and Veterinary Department,Technical Evaluation,Works,315.0
515,2018-19,Animal Husbandry and Veterinary Department,To be Opened,Goods,108.0
516,2018-19,Animal Husbandry and Veterinary Department,To be Opened,Services,180.0
517,2018-19,Animal Husbandry and Veterinary Department,To be Opened,Works,180.0
518,2018-19,Assam Electricity Grid Corporation Ltd,AOC,Goods,180.0
519,2018-19,Assam Electricity Grid Corporation Ltd,AOC,Works,180.0
520,2018-19,Assam Electricity Grid Corporation Ltd,Bid Opening,Services,180.0
521,2018-19,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Goods,180.0
522,2018-19,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Services,150.0
523,2018-19,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Works,181.57894736842104
524,2018-19,Assam Electricity Grid Corporation Ltd,Financial Evaluation,Goods,180.0
525,2018-19,Assam Electricity Grid Corporation Ltd,Financial Evaluation,Works,210.0
526,2018-19,Assam Electricity Grid Corporation Ltd,Technical Bid Opening,Goods,180.0
527,2018-19,Assam Electricity Grid Corporation Ltd,Technical Bid Opening,Services,180.0
528,2018-19,Assam Electricity Grid Corporation Ltd,Technical Bid Opening,Works,185.0
529,2018-19,Assam Electricity Grid Corporation Ltd,Technical Evaluation,Goods,144.0
530,2018-19,Assam Electricity Grid Corporation Ltd,Technical Evaluation,Works,180.0
531,2018-19,Assam Electricity Grid Corporation Ltd,To be Opened,Goods,150.0
532,2018-19,Assam Electricity Grid Corporation Ltd,To be Opened,Services,180.0
533,2018-19,Assam Electricity Grid Corporation Ltd,To be Opened,Works,192.0
534,2018-19,Assam Home Guards and Civil Defence Organization,AOC,Goods,365.0
535,2018-19,Assam Inland Water Transport Development Society,AOC,Goods,90.0
536,2018-19,Assam Inland Water Transport Development Society,AOC,Works,45.0
537,2018-19,Assam Inland Water Transport Development Society,Evaluation,Services,120.0
538,2018-19,Assam Inland Water Transport Development Society,Technical Bid Opening,Works,90.0
539,2018-19,Assam Inland Water Transport Development Society,To be Opened,Goods,75.0
540,2018-19,Assam Inland Water Transport Development Society,To be Opened,Works,90.0
541,2018-19,Assam Police,AOC,Goods,307.5
542,2018-19,Assam Police,AOC,Services,180.0
543,2018-19,Assam Police,Bid Opening,Goods,365.0
544,2018-19,Assam Police,Financial Bid Opening,Goods,180.0
545,2018-19,Assam Police,Financial Evaluation,Goods,272.5
546,2018-19,Assam Police,Financial Evaluation,Services,365.0
547,2018-19,Assam Police,Technical Bid Opening,Goods,180.0
548,2018-19,Assam Police,Technical Evaluation,Goods,365.0
549,2018-19,Assam Police,To be Opened,Goods,250.0
550,2018-19,Assam Police,To be Opened,Services,109.5
551,2018-19,Assam Police Housing Corporation Ltd,Bid Opening,Works,60.0
552,2018-19,Assam Police Housing Corporation Ltd,Financial Bid Opening,Works,63.87096774193548
553,2018-19,Assam Police Housing Corporation Ltd,Technical Evaluation,Works,72.0
554,2018-19,Assam Police Housing Corporation Ltd,To be Opened,Works,64.61538461538461
555,2018-19,Assam Power Distribution Company Limited-ADB,To be Opened,Goods,180.0
556,2018-19,Assam Power Distribution Company Ltd,AOC,Goods,203.125
557,2018-19,Assam Power Distribution Company Ltd,AOC,Services,211.66666666666666
558,2018-19,Assam Power Distribution Company Ltd,AOC,Works,106.12676056338029
559,2018-19,Assam Power Distribution Company Ltd,Financial Bid Opening,Goods,270.0
560,2018-19,Assam Power Distribution Company Ltd,Financial Evaluation,Works,90.0
561,2018-19,Assam Power Distribution Company Ltd,Technical Evaluation,Works,178.92857142857142
562,2018-19,Assam Power Distribution Company Ltd,To be Opened,Goods,241.66666666666666
563,2018-19,Assam Power Distribution Company Ltd,To be Opened,Services,211.66666666666666
564,2018-19,Assam Power Distribution Company Ltd,To be Opened,Works,215.625
565,2018-19,Assam Power Generation Company Limited,AOC,Goods,120.0
566,2018-19,Assam Power Generation Company Limited,AOC,Services,180.0
567,2018-19,Assam Power Generation Company Limited,AOC,Works,112.5
568,2018-19,Assam Power Generation Company Limited,Financial Bid Opening,Services,105.0
569,2018-19,Assam Power Generation Company Limited,Financial Bid Opening,Works,96.0
570,2018-19,Assam Power Generation Company Limited,Financial Evaluation,Services,90.0
571,2018-19,Assam Power Generation Company Limited,Technical Bid Opening,Works,90.0
572,2018-19,Assam Power Generation Company Limited,Technical Evaluation,Goods,180.0
573,2018-19,Assam Power Generation Company Limited,Technical Evaluation,Works,90.0
574,2018-19,Assam Power Generation Company Limited,To be Opened,Works,110.76923076923077
575,2018-19,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,180.0
576,2018-19,Assam Power Generation Company Limited APGCL - ADB,Technical Bid Opening,Works,180.0
577,2018-19,Assam Society for Comprehensive Financial Management System,AOC,Goods,120.0
578,2018-19,Assam Society for Comprehensive Financial Management System,Technical Bid Opening,Goods,120.0
579,2018-19,Assam Society for Comprehensive Financial Management System,To be Opened,Goods,180.0
580,2018-19,Assam State Agricultural Marketing Board,AOC,Works,180.0
581,2018-19,Assam State Disaster Management Authority,AOC,Goods,180.0
582,2018-19,Assam State Disaster Management Authority,AOC,Services,180.0
583,2018-19,Assam State Disaster Management Authority,Technical Bid Opening,Goods,180.0
584,2018-19,Assam State Transport Corporation,AOC,Services,120.0
585,2018-19,Assam State Transport Corporation,Evaluation,Services,120.0
586,2018-19,Assam State Transport Corporation,Financial Bid Opening,Works,180.0
587,2018-19,Assam State Transport Corporation,Technical Evaluation,Goods,120.0
588,2018-19,Assam State Transport Corporation,To be Opened,Goods,120.0
589,2018-19,Assam State Transport Corporation,To be Opened,Services,120.0
590,2018-19,Assam State Transport Corporation,To be Opened,Works,180.0
591,2018-19,Assam Urban Infrastructure Investment Program,Financial Evaluation,Works,180.0
592,2018-19,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Goods,90.0
593,2018-19,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Services,90.0
594,2018-19,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Works,180.0
595,2018-19,Axom Sarba Siksha Abhijan Mission,Financial Evaluation,Goods,90.0
596,2018-19,Axom Sarba Siksha Abhijan Mission,Financial Evaluation,Works,180.0
597,2018-19,Axom Sarba Siksha Abhijan Mission,Technical Bid Opening,Goods,60.0
598,2018-19,Axom Sarba Siksha Abhijan Mission,Technical Bid Opening,Services,60.0
599,2018-19,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Goods,90.0
600,2018-19,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,60.0
601,2018-19,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,90.0
602,2018-19,Axom Sarba Siksha Abhijan Mission,To be Opened,Goods,87.0
603,2018-19,Axom Sarba Siksha Abhijan Mission,To be Opened,Services,67.5
604,2018-19,Axom Sarba Siksha Abhijan Mission,To be Opened,Works,180.0
605,2018-19,Bodoland Territorial Council,AOC,Goods,180.0
606,2018-19,Bodoland Territorial Council,AOC,Works,177.53086419753086
607,2018-19,Bodoland Territorial Council,Financial Bid Opening,Goods,180.0
608,2018-19,Bodoland Territorial Council,Financial Bid Opening,Works,173.14285714285714
609,2018-19,Bodoland Territorial Council,Financial Evaluation,Goods,165.6818181818182
610,2018-19,Bodoland Territorial Council,Financial Evaluation,Services,105.0
611,2018-19,Bodoland Territorial Council,Financial Evaluation,Works,168.78164556962025
612,2018-19,Bodoland Territorial Council,Technical Bid Opening,Goods,180.0
613,2018-19,Bodoland Territorial Council,Technical Bid Opening,Works,159.75
614,2018-19,Bodoland Territorial Council,Technical Evaluation,Goods,180.0
615,2018-19,Bodoland Territorial Council,Technical Evaluation,Works,178.15068493150685
616,2018-19,Bodoland Territorial Council,To be Opened,Goods,180.0
617,2018-19,Bodoland Territorial Council,To be Opened,Works,168.9795918367347
618,2018-19,Bodoland Territorial Council-PWD,AOC,Works,179.9264705882353
619,2018-19,Bodoland Territorial Council-PWD,Financial Bid Opening,Works,179.8695652173913
620,2018-19,Bodoland Territorial Council-PWD,Technical Bid Opening,Works,180.0
621,2018-19,Bodoland Territorial Council-PWD,To be Opened,Works,180.0
622,2018-19,Bodoland Territorial Council-WRD,AOC,Works,102.0
623,2018-19,Bodoland Territorial Council-WRD,Financial Evaluation,Works,90.0
624,2018-19,Bodoland Territorial Council-WRD,Technical Bid Opening,Works,90.0
625,2018-19,Bodoland Territorial Council-WRD,Technical Evaluation,Works,60.0
626,2018-19,Bodoland Territorial Council-WRD,To be Opened,Works,90.0
627,2018-19,Commissionerate Of Transport,Financial Bid Opening,Goods,90.0
628,2018-19,Cooperation Department,AOC,Goods,240.0
629,2018-19,Cooperation Department,Financial Bid Opening,Goods,120.0
630,2018-19,Cooperation Department,Financial Evaluation,Works,180.0
631,2018-19,Cooperation Department,Technical Bid Opening,Goods,105.0
632,2018-19,Cooperation Department,Technical Evaluation,Goods,150.0
633,2018-19,Cooperation Department,Technical Evaluation,Works,180.0
634,2018-19,Cooperation Department,To be Opened,Goods,128.57142857142858
635,2018-19,Cooperation Department,To be Opened,Services,45.0
636,2018-19,Cooperation Department,To be Opened,Works,45.0
637,2018-19,Cotton University,AOC,Works,180.0
638,2018-19,Department of Cultural Affairs,AOC,Services,210.0
639,2018-19,Department of Cultural Affairs,AOC,Works,180.0
640,2018-19,Department of Cultural Affairs,Financial Bid Opening,Works,365.0
641,2018-19,Department of Cultural Affairs,Technical Bid Opening,Works,180.0
642,2018-19,Department of Cultural Affairs,Technical Evaluation,Services,180.0
643,2018-19,Department of Cultural Affairs,Technical Evaluation,Works,180.0
644,2018-19,Department of Cultural Affairs,To be Opened,Services,170.0
645,2018-19,Department of Cultural Affairs,To be Opened,Works,272.5
646,2018-19,Department of Fisheries,AOC,Works,146.25
647,2018-19,Department of Fisheries,Financial Evaluation,Goods,180.0
648,2018-19,Department of Fisheries,Financial Evaluation,Works,180.0
649,2018-19,Department of Fisheries,Technical Bid Opening,Goods,180.0
650,2018-19,Department of Fisheries,Technical Bid Opening,Works,180.0
651,2018-19,Department of Fisheries,Technical Evaluation,Goods,180.0
652,2018-19,Department of Fisheries,To be Opened,Goods,180.0
653,2018-19,Department of Fisheries,To be Opened,Works,45.0
654,2018-19,Department of Handloom Textile and Sericulture,AOC,Goods,180.0
655,2018-19,Department of Handloom Textile and Sericulture,AOC,Works,180.0
656,2018-19,Department of Handloom Textile and Sericulture,Financial Bid Opening,Goods,180.0
657,2018-19,Department of Handloom Textile and Sericulture,Financial Bid Opening,Works,180.0
658,2018-19,Department of Handloom Textile and Sericulture,Technical Evaluation,Goods,272.5
659,2018-19,Department of Handloom Textile and Sericulture,To be Opened,Goods,180.0
660,2018-19,Department of Higher Education,AOC,Goods,90.0
661,2018-19,Department of Higher Education,AOC,Works,129.0
662,2018-19,Department of Higher Education,Financial Bid Opening,Goods,30.0
663,2018-19,Department of Higher Education,Financial Bid Opening,Works,160.0
664,2018-19,Department of Higher Education,Financial Evaluation,Works,176.25
665,2018-19,Department of Higher Education,Technical Evaluation,Works,180.0
666,2018-19,Department of Higher Education,To be Opened,Goods,180.0
667,2018-19,Department of Higher Education,To be Opened,Works,121.66666666666667
668,2018-19,Department of Tourism,AOC,Works,191.25
669,2018-19,Department of Tourism,Financial Evaluation,Works,180.0
670,2018-19,Department of Tourism,Technical Bid Opening,Services,180.0
671,2018-19,Department of Tourism,Technical Evaluation,Services,225.0
672,2018-19,Department of Tourism,To be Opened,Services,210.0
673,2018-19,Department of Tourism,To be Opened,Works,180.0
674,2018-19,Department of Water Resources,AOC,Goods,120.0
675,2018-19,Department of Water Resources,AOC,Works,178.5781990521327
676,2018-19,Department of Water Resources,Financial Bid Opening,Works,180.0
677,2018-19,Department of Water Resources,Financial Evaluation,Works,180.0
678,2018-19,Department of Water Resources,Technical Bid Opening,Goods,180.0
679,2018-19,Department of Water Resources,Technical Bid Opening,Works,180.0
680,2018-19,Department of Water Resources,Technical Evaluation,Goods,180.0
681,2018-19,Department of Water Resources,Technical Evaluation,Works,180.0
682,2018-19,Department of Water Resources,To be Opened,Goods,180.0
683,2018-19,Department of Water Resources,To be Opened,Works,177.5
684,2018-19,Dibrugarh University,Technical Bid Opening,Goods,120.0
685,2018-19,Director- Fire and Emergency Services-Assam,AOC,Goods,365.0
686,2018-19,Director- Fire and Emergency Services-Assam,AOC,Works,297.72727272727275
687,2018-19,Director- Fire and Emergency Services-Assam,Bid Opening,Works,365.0
688,2018-19,Director- Fire and Emergency Services-Assam,Evaluation,Works,365.0
689,2018-19,Director- Fire and Emergency Services-Assam,To be Opened,Goods,365.0
690,2018-19,Director- Fire and Emergency Services-Assam,To be Opened,Services,180.0
691,2018-19,Director- Fire and Emergency Services-Assam,To be Opened,Works,365.0
692,2018-19,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Goods,279.0
693,2018-19,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Works,120.0
694,2018-19,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,196.66666666666666
695,2018-19,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Works,90.0
696,2018-19,Directorate of Agriculture and Assam Seed Corporation,Technical Bid Opening,Goods,30.0
697,2018-19,Directorate of Agriculture and Assam Seed Corporation,Technical Bid Opening,Services,90.0
698,2018-19,Directorate of Agriculture and Assam Seed Corporation,Technical Bid Opening,Works,116.66666666666667
699,2018-19,Directorate of Agriculture and Assam Seed Corporation,To be Opened,Goods,365.0
700,2018-19,Directorate of Agriculture and Assam Seed Corporation,To be Opened,Services,90.0
701,2018-19,Directorate of Agriculture and Assam Seed Corporation,To be Opened,Works,90.0
702,2018-19,Directorate of Forensic Science Assam,Financial Bid Opening,Goods,100.0
703,2018-19,Directorate of Forensic Science Assam,Technical Bid Opening,Goods,120.0
704,2018-19,Directorate of Horticulture Assam,Evaluation,Services,365.0
705,2018-19,Directorate of Horticulture Assam,Financial Evaluation,Services,365.0
706,2018-19,Directorate of Horticulture Assam,Technical Evaluation,Goods,120.0
707,2018-19,Directorate of Horticulture Assam,To be Opened,Goods,90.0
708,2018-19,Directorate of Horticulture Assam,To be Opened,Services,180.0
709,2018-19,Directorate of Sports and Youth Welfare - Assam,Financial Bid Opening,Goods,60.0
710,2018-19,Directorate of Sports and Youth Welfare - Assam,Financial Bid Opening,Services,80.0
711,2018-19,Directorate of Sports and Youth Welfare - Assam,Technical Bid Opening,Services,78.0
712,2018-19,Directorate of Sports and Youth Welfare - Assam,Technical Evaluation,Services,90.0
713,2018-19,Directorate of Sports and Youth Welfare - Assam,To be Opened,Services,165.0
714,2018-19,Elementary Education Department,AOC,Goods,210.0
715,2018-19,Elementary Education Department,AOC,Services,180.0
716,2018-19,Excise Department,To be Opened,Goods,999.0
717,2018-19,Finance Department - World Bank Tenders,AOC,Goods,180.0
718,2018-19,Finance Department - World Bank Tenders,AOC,Services,90.0
719,2018-19,Finance Department - World Bank Tenders,Bid Opening,Services,120.0
720,2018-19,Finance Department - World Bank Tenders,Financial Bid Opening,Services,90.0
721,2018-19,Food Civil Supplies and Consumer Affairs Department,AOC,Goods,365.0
722,2018-19,Food Civil Supplies and Consumer Affairs Department,AOC,Works,365.0
723,2018-19,Food Civil Supplies and Consumer Affairs Department,Financial Evaluation,Goods,365.0
724,2018-19,Food Civil Supplies and Consumer Affairs Department,Financial Evaluation,Services,365.0
725,2018-19,Food Civil Supplies and Consumer Affairs Department,Technical Evaluation,Goods,365.0
726,2018-19,Food Civil Supplies and Consumer Affairs Department,To be Opened,Goods,365.0
727,2018-19,Food Civil Supplies and Consumer Affairs Department,To be Opened,Services,365.0
728,2018-19,Gauhati High Court - Guwahati,AOC,Goods,166.66666666666666
729,2018-19,Gauhati High Court - Guwahati,Technical Bid Opening,Goods,180.0
730,2018-19,Gauhati High Court - Guwahati,To be Opened,Goods,180.0
731,2018-19,Gauhati University,AOC,Works,180.0
732,2018-19,Gauhati University,Technical Bid Opening,Works,135.0
733,2018-19,General Administration Department,AOC,Goods,90.0
734,2018-19,Guwahati Metropolitan Development Authority,Bid Opening,Services,120.0
735,2018-19,Guwahati Metropolitan Development Authority,Bid Opening,Works,120.0
736,2018-19,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,120.0
737,2018-19,Guwahati Metropolitan Development Authority,To be Opened,Services,30.0
738,2018-19,Guwahati Metropolitan Development Authority,To be Opened,Works,120.0
739,2018-19,Guwahati Municipal Corporation,AOC,Works,90.0
740,2018-19,Guwahati Municipal Corporation,Bid Opening,Works,227.5
741,2018-19,Guwahati Municipal Corporation,Evaluation,Works,90.0
742,2018-19,Guwahati Municipal Corporation,Financial Bid Opening,Works,90.0
743,2018-19,Guwahati Municipal Corporation,Financial Evaluation,Works,90.0
744,2018-19,Guwahati Municipal Corporation,Technical Bid Opening,Works,88.92857142857143
745,2018-19,Guwahati Municipal Corporation,To be Opened,Works,94.2948717948718
746,2018-19,Guwahati Smart City Ltd.,Financial Bid Opening,Works,180.0
747,2018-19,Guwahati Smart City Ltd.,To be Opened,Works,180.0
748,2018-19,Health and Family Welfare Department,AOC,Goods,310.0
749,2018-19,Health and Family Welfare Department,AOC,Services,90.0
750,2018-19,Health and Family Welfare Department,Financial Bid Opening,Goods,332.6470588235294
751,2018-19,Health and Family Welfare Department,Financial Evaluation,Goods,407.5
752,2018-19,Health and Family Welfare Department,Financial Evaluation,Services,197.5
753,2018-19,Health and Family Welfare Department,Financial Evaluation,Works,45.0
754,2018-19,Health and Family Welfare Department,Technical Bid Opening,Goods,365.0
755,2018-19,Health and Family Welfare Department,Technical Bid Opening,Services,303.3333333333333
756,2018-19,Health and Family Welfare Department,Technical Evaluation,Goods,340.3333333333333
757,2018-19,Health and Family Welfare Department,Technical Evaluation,Services,365.0
758,2018-19,Health and Family Welfare Department,Technical Evaluation,Works,45.0
759,2018-19,Health and Family Welfare Department,To be Opened,Goods,365.4945054945055
760,2018-19,Health and Family Welfare Department,To be Opened,Services,205.0
761,2018-19,Health and Family Welfare Department,To be Opened,Works,272.5
762,2018-19,Higher Education (Technical) Department,Financial Bid Opening,Goods,90.0
763,2018-19,Higher Education (Technical) Department,Financial Evaluation,Goods,162.0
764,2018-19,Higher Education (Technical) Department,Financial Evaluation,Works,180.0
765,2018-19,Higher Education (Technical) Department,To be Opened,Services,365.0
766,2018-19,Home B,AOC,Goods,229.76190476190476
