,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,saving/overrun,tender_count
364,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,Samevalue,13
365,2020-2021,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,Samevalue,4
366,2020-2021,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,Samevalue,7
367,2020-2021,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,Samevalue,2
368,2020-2021,Welfare of Plain Tribes and Backward Classes,Retender,Works,Samevalue,1
369,2020-2021,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Goods,Samevalue,2
370,2020-2021,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Works,Samevalue,1
371,2020-2021,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Works,Samevalue,1
372,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Goods,Overrun,3
373,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Services,Saving,3
374,2021-2022,Animal Husbandry and Veterinary Department,AOC,Goods,Saving,2
375,2021-2022,Animal Husbandry and Veterinary Department,AOC,Works,Samevalue,2
376,2021-2022,Animal Husbandry and Veterinary Department,AOC,Works,Saving,5
377,2021-2022,Animal Husbandry and Veterinary Department,Cancelled,Goods,Samevalue,1
378,2021-2022,Animal Husbandry and Veterinary Department,Cancelled,Works,Samevalue,2
379,2021-2022,Animal Husbandry and Veterinary Department-Externally Aided Project,Cancelled,Goods,Samevalue,1
380,2021-2022,Assam Agricultural University,AOC,Works,Saving,2
381,2021-2022,Assam Electricity Grid Corporation Ltd,AOC,Goods,Samevalue,3
382,2021-2022,Assam Electricity Grid Corporation Ltd,AOC,Works,Samevalue,10
383,2021-2022,Assam Electricity Grid Corporation Ltd,AOC,Works,Saving,1
384,2021-2022,Assam Electricity Grid Corporation Ltd,Cancelled,Works,Samevalue,2
385,2021-2022,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Goods,Overrun,1
386,2021-2022,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Goods,Samevalue,1
387,2021-2022,Assam Inland Water Transport Development Society,AOC,Services,Samevalue,1
388,2021-2022,Assam Inland Water Transport Development Society,AOC,Services,Saving,1
389,2021-2022,Assam Inland Water Transport Development Society,AOC,Works,Saving,1
390,2021-2022,Assam Inland Water Transport Development Society,Technical Evaluation,Services,Samevalue,1
391,2021-2022,Assam Police,Cancelled,Goods,Samevalue,1
392,2021-2022,Assam Police,Cancelled,Services,Samevalue,1
393,2021-2022,Assam Police,Financial Evaluation,Goods,Samevalue,1
394,2021-2022,Assam Police,Technical Bid Opening,Goods,Samevalue,2
395,2021-2022,Assam Police,Technical Evaluation,Goods,Samevalue,1
396,2021-2022,Assam Police Housing Corporation Ltd,AOC,Works,Overrun,3
397,2021-2022,Assam Police Housing Corporation Ltd,AOC,Works,Samevalue,7
398,2021-2022,Assam Police Housing Corporation Ltd,Cancelled,Works,Samevalue,12
399,2021-2022,Assam Police Housing Corporation Ltd,Technical Evaluation,Works,Samevalue,8
400,2021-2022,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,Samevalue,5
401,2021-2022,Assam Power Distribution Company Ltd,AOC,Goods,Samevalue,1
402,2021-2022,Assam Power Distribution Company Ltd,AOC,Services,Samevalue,4
403,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,Overrun,38
404,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,Samevalue,7
405,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,Saving,37
406,2021-2022,Assam Power Distribution Company Ltd,Cancelled,Goods,Samevalue,1
407,2021-2022,Assam Power Distribution Company Ltd,Cancelled,Services,Samevalue,2
408,2021-2022,Assam Power Distribution Company Ltd,Cancelled,Works,Samevalue,3
409,2021-2022,Assam Power Distribution Company Ltd,Financial Bid Opening,Services,Samevalue,1
410,2021-2022,Assam Power Distribution Company Ltd,Technical Evaluation,Services,Samevalue,1
411,2021-2022,Assam Power Generation Company Limited,AOC,Services,Samevalue,3
412,2021-2022,Assam Power Generation Company Limited,AOC,Works,Samevalue,1
413,2021-2022,Assam Power Generation Company Limited,Cancelled,Works,Samevalue,2
414,2021-2022,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,Samevalue,1
415,2021-2022,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,Samevalue,2
416,2021-2022,Assam Science and Technology University,Cancelled,Goods,Samevalue,1
417,2021-2022,Assam State Disaster Management Authority,AOC,Goods,Samevalue,2
418,2021-2022,Assam State Disaster Management Authority,AOC,Services,Samevalue,1
419,2021-2022,Assam State Disaster Management Authority,Cancelled,Goods,Samevalue,1
420,2021-2022,Assam State Transport Corporation,Cancelled,Services,Samevalue,1
421,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Goods,Samevalue,9
422,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Goods,Saving,1
423,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Services,Samevalue,4
424,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Works,Samevalue,2
425,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,Samevalue,15
426,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Services,Samevalue,10
427,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,Samevalue,4
428,2021-2022,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Goods,Samevalue,1
429,2021-2022,Axom Sarba Siksha Abhijan Mission,Financial Evaluation,Services,Samevalue,2
430,2021-2022,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Goods,Samevalue,2
431,2021-2022,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,Samevalue,2
432,2021-2022,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,Samevalue,1
433,2021-2022,Axom Sarba Siksha Abhijan Mission,To Be Opened,Goods,Samevalue,1
434,2021-2022,Axom Sarba Siksha Abhijan Mission,To Be Opened,Services,Samevalue,2
435,2021-2022,BODOLAND UNIVERSITY,AOC,Works,Samevalue,4
436,2021-2022,BODOLAND UNIVERSITY,Cancelled,Works,Samevalue,2
437,2021-2022,Bodoland Territorial Council,AOC,Goods,Samevalue,1
438,2021-2022,Bodoland Territorial Council,AOC,Goods,Saving,1
439,2021-2022,Bodoland Territorial Council,AOC,Works,Samevalue,209
440,2021-2022,Bodoland Territorial Council,Cancelled,Goods,Samevalue,1
441,2021-2022,Bodoland Territorial Council,Cancelled,Works,Samevalue,45
442,2021-2022,Bodoland Territorial Council,Financial Bid Opening,Goods,Samevalue,8
443,2021-2022,Bodoland Territorial Council,Financial Bid Opening,Works,Samevalue,3
444,2021-2022,Bodoland Territorial Council,Financial Evaluation,Goods,Samevalue,19
445,2021-2022,Bodoland Territorial Council,Financial Evaluation,Works,Samevalue,4
446,2021-2022,Bodoland Territorial Council,Retender,Goods,Samevalue,2
447,2021-2022,Bodoland Territorial Council,Technical Bid Opening,Goods,Samevalue,4
448,2021-2022,Bodoland Territorial Council,Technical Bid Opening,Works,Samevalue,6
449,2021-2022,Bodoland Territorial Council,Technical Evaluation,Goods,Samevalue,1
450,2021-2022,Bodoland Territorial Council,Technical Evaluation,Works,Samevalue,8
451,2021-2022,Bodoland Territorial Council,To Be Opened,Works,Samevalue,2
452,2021-2022,Bodoland Territorial Council-PWD,AOC,Works,Samevalue,227
453,2021-2022,Bodoland Territorial Council-PWD,AOC,Works,Saving,2
454,2021-2022,Bodoland Territorial Council-PWD,Cancelled,Works,Samevalue,38
455,2021-2022,Bodoland Territorial Council-PWD,Technical Evaluation,Works,Samevalue,2
456,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,Samevalue,46
457,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,Saving,9
458,2021-2022,Bodoland Territorial Council-WRD,Cancelled,Works,Samevalue,2
459,2021-2022,Cooperation Department,AOC,Goods,Samevalue,5
460,2021-2022,Cooperation Department,AOC,Services,Samevalue,1
461,2021-2022,Cooperation Department,Cancelled,Services,Samevalue,1
462,2021-2022,Cooperation Department,Retender,Goods,Samevalue,2
463,2021-2022,Department of Cultural Affairs,AOC,Works,Samevalue,1
464,2021-2022,Department of Cultural Affairs,AOC,Works,Saving,1
465,2021-2022,Department of Cultural Affairs,Financial Bid Opening,Goods,Samevalue,2
466,2021-2022,Department of Handloom Textile and Sericulture,AOC,Goods,Samevalue,1
467,2021-2022,Department of Handloom Textile and Sericulture,AOC,Works,Samevalue,1
468,2021-2022,Department of Handloom Textile and Sericulture,Financial Evaluation,Goods,Samevalue,1
469,2021-2022,Department of Higher Education,Technical Evaluation,Works,Samevalue,1
470,2021-2022,Department of Housing and Urban Affairs,AOC,Works,Saving,14
471,2021-2022,Department of Housing and Urban Affairs,Cancelled,Works,Samevalue,3
472,2021-2022,Department of Labour and Welfare,AOC,Goods,Samevalue,1
473,2021-2022,Department of Labour and Welfare,AOC,Services,Samevalue,1
474,2021-2022,Department of Labour and Welfare,Cancelled,Goods,Samevalue,2
475,2021-2022,Department of Labour and Welfare,Cancelled,Services,Samevalue,1
476,2021-2022,Department of Science and Technology,AOC,Services,Samevalue,2
477,2021-2022,Department of Tourism,AOC,Services,Overrun,2
478,2021-2022,Department of Tourism,AOC,Services,Samevalue,1
479,2021-2022,Department of Tourism,Financial Evaluation,Services,Samevalue,1
480,2021-2022,Department of Tourism,Technical Evaluation,Services,Samevalue,1
481,2021-2022,Department of Tourism,To Be Opened,Services,Samevalue,12
482,2021-2022,Department of Water Resources,AOC,Services,Samevalue,1
483,2021-2022,Department of Water Resources,AOC,Works,Overrun,1
484,2021-2022,Department of Water Resources,AOC,Works,Samevalue,121
485,2021-2022,Department of Water Resources,AOC,Works,Saving,33
486,2021-2022,Department of Water Resources,Cancelled,Goods,Samevalue,1
487,2021-2022,Department of Water Resources,Cancelled,Services,Samevalue,1
488,2021-2022,Department of Water Resources,Cancelled,Works,Samevalue,56
489,2021-2022,Department of Water Resources,Financial Bid Opening,Works,Samevalue,1
490,2021-2022,Department of Water Resources,Financial Evaluation,Works,Samevalue,5
491,2021-2022,Department of Water Resources,Retender,Works,Samevalue,36
492,2021-2022,Department of Water Resources,Technical Evaluation,Services,Samevalue,1
493,2021-2022,Dibrugarh University,AOC,Goods,Samevalue,2
494,2021-2022,Dibrugarh University,Cancelled,Goods,Samevalue,1
495,2021-2022,Director- Fire and Emergency Services-Assam,AOC,Works,Samevalue,15
496,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,Saving,1
497,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Services,Samevalue,1
498,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,Saving,3
499,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Goods,Samevalue,2
500,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Services,Samevalue,2
501,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Works,Samevalue,13
502,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,Samevalue,1
503,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Technical Evaluation,Goods,Samevalue,1
504,2021-2022,Directorate of Horticulture Assam,Financial Evaluation,Goods,Samevalue,3
505,2021-2022,Directorate of Sports and Youth Welfare - Assam,AOC,Goods,Samevalue,1
506,2021-2022,Directorate of Sports and Youth Welfare - Assam,AOC,Services,Samevalue,1
507,2021-2022,Directorate of Sports and Youth Welfare - Assam,Cancelled,Goods,Samevalue,2
508,2021-2022,Directorate of Sports and Youth Welfare - Assam,Retender,Goods,Samevalue,1
509,2021-2022,Finance Department - World Bank Tenders,AOC,Goods,Samevalue,2
510,2021-2022,Finance Department - World Bank Tenders,Financial Bid Opening,Services,Samevalue,1
511,2021-2022,Food Civil Supplies and Consumer Affairs Department,AOC,Services,Samevalue,1
512,2021-2022,Gauhati High Court - Guwahati,AOC,Goods,Samevalue,2
513,2021-2022,Gauhati University,AOC,Works,Samevalue,1
514,2021-2022,Guwahati Metropolitan Development Authority,AOC,Works,Saving,4
515,2021-2022,Guwahati Metropolitan Development Authority,Cancelled,Services,Samevalue,1
516,2021-2022,Guwahati Metropolitan Development Authority,Cancelled,Works,Samevalue,2
517,2021-2022,Guwahati Metropolitan Development Authority,Technical Bid Opening,Works,Samevalue,2
518,2021-2022,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,Samevalue,4
519,2021-2022,Guwahati Metropolitan Development Authority,To Be Opened,Works,Samevalue,1
520,2021-2022,Guwahati Municipal Corporation,Cancelled,Goods,Samevalue,1
521,2021-2022,Guwahati Municipal Corporation,Cancelled,Works,Samevalue,51
522,2021-2022,Guwahati Municipal Corporation,Financial Bid Opening,Works,Samevalue,17
523,2021-2022,Guwahati Municipal Corporation,Financial Evaluation,Works,Samevalue,72
524,2021-2022,Guwahati Municipal Corporation,Retender,Works,Samevalue,17
525,2021-2022,Guwahati Municipal Corporation,Technical Bid Opening,Works,Samevalue,2
526,2021-2022,Guwahati Municipal Corporation,To Be Opened,Goods,Samevalue,1
527,2021-2022,Guwahati Municipal Corporation,To Be Opened,Works,Samevalue,6
528,2021-2022,Guwahati Smart City Ltd.,Cancelled,Works,Samevalue,1
529,2021-2022,Health and Family Welfare Department,AOC,Goods,Samevalue,13
530,2021-2022,Health and Family Welfare Department,AOC,Goods,Saving,1
531,2021-2022,Health and Family Welfare Department,AOC,Services,Samevalue,2
532,2021-2022,Health and Family Welfare Department,AOC,Services,Saving,1
533,2021-2022,Health and Family Welfare Department,Cancelled,Goods,Samevalue,17
534,2021-2022,Health and Family Welfare Department,Cancelled,Services,Samevalue,3
535,2021-2022,Health and Family Welfare Department,Financial Evaluation,Goods,Samevalue,3
536,2021-2022,Home B,AOC,Goods,Overrun,12
537,2021-2022,Home B,AOC,Goods,Samevalue,20
538,2021-2022,Home B,AOC,Goods,Saving,2
539,2021-2022,Home B,Cancelled,Goods,Samevalue,31
540,2021-2022,Home B,Financial Evaluation,Goods,Samevalue,2
541,2021-2022,Home B,Technical Bid Opening,Goods,Samevalue,1
542,2021-2022,Indigenous and Tribal Faith and Culture Department,AOC,Works,Samevalue,2
543,2021-2022,Indigenous and Tribal Faith and Culture Department,AOC,Works,Saving,6
544,2021-2022,Industries and Commerce Department,AOC,Goods,Overrun,1
545,2021-2022,Industries and Commerce Department,AOC,Goods,Samevalue,11
546,2021-2022,Industries and Commerce Department,AOC,Goods,Saving,1
547,2021-2022,Industries and Commerce Department,AOC,Services,Samevalue,9
548,2021-2022,Industries and Commerce Department,AOC,Services,Saving,2
549,2021-2022,Industries and Commerce Department,AOC,Works,Overrun,2
550,2021-2022,Industries and Commerce Department,AOC,Works,Samevalue,25
551,2021-2022,Industries and Commerce Department,AOC,Works,Saving,12
552,2021-2022,Industries and Commerce Department,Cancelled,Goods,Samevalue,7
553,2021-2022,Industries and Commerce Department,Cancelled,Services,Samevalue,2
554,2021-2022,Industries and Commerce Department,Cancelled,Works,Samevalue,6
555,2021-2022,Industries and Commerce Department,Financial Bid Opening,Services,Samevalue,1
556,2021-2022,Industries and Commerce Department,Retender,Services,Samevalue,1
557,2021-2022,Industries and Commerce Department,Retender,Works,Samevalue,6
558,2021-2022,Industries and Commerce Department,Technical Evaluation,Goods,Samevalue,1
559,2021-2022,Industries and Commerce Department,Technical Evaluation,Works,Samevalue,4
560,2021-2022,Information - Public Relations - Printing and Stationery Department,Cancelled,Goods,Samevalue,2
561,2021-2022,Information and Public Relations Department,AOC,Goods,Samevalue,1
562,2021-2022,Information and Public Relations Department,AOC,Services,Samevalue,3
563,2021-2022,Information and Public Relations Department,Cancelled,Goods,Samevalue,1
564,2021-2022,Information and Public Relations Department,Retender,Goods,Samevalue,1
565,2021-2022,Irrigation Department,AOC,Goods,Saving,2
566,2021-2022,Irrigation Department,AOC,Works,Samevalue,32
567,2021-2022,Irrigation Department,AOC,Works,Saving,1
568,2021-2022,Irrigation Department,Cancelled,Works,Samevalue,7
569,2021-2022,Irrigation Department,Financial Bid Opening,Works,Samevalue,2
570,2021-2022,Karbi Anglong Autonomous Council,AOC,Works,Samevalue,17
571,2021-2022,Karbi Anglong Autonomous Council,Financial Evaluation,Works,Samevalue,1
572,2021-2022,Karbi Anglong Autonomous Council,Retender,Works,Samevalue,1
573,2021-2022,Karbi Anglong Autonomous Council,Technical Evaluation,Works,Samevalue,2
574,2021-2022,Karbi Anglong Autonomous Council,To Be Opened,Works,Samevalue,1
575,2021-2022,National Health Mission,AOC,Goods,Samevalue,7
576,2021-2022,National Health Mission,AOC,Services,Overrun,1
577,2021-2022,National Health Mission,AOC,Services,Samevalue,1
578,2021-2022,National Health Mission,AOC,Works,Overrun,1
579,2021-2022,National Health Mission,AOC,Works,Samevalue,3
580,2021-2022,National Health Mission,AOC,Works,Saving,91
581,2021-2022,National Health Mission,Cancelled,Goods,Samevalue,1
582,2021-2022,National Health Mission,Cancelled,Works,Samevalue,127
583,2021-2022,National Health Mission,Financial Bid Opening,Goods,Samevalue,3
584,2021-2022,National Health Mission,Financial Bid Opening,Services,Samevalue,1
585,2021-2022,National Health Mission,Financial Bid Opening,Works,Samevalue,13
586,2021-2022,National Health Mission,Financial Evaluation,Works,Samevalue,1
587,2021-2022,National Health Mission,Retender,Goods,Samevalue,1
588,2021-2022,National Health Mission,Retender,Works,Samevalue,2
589,2021-2022,National Health Mission,Technical Bid Opening,Goods,Samevalue,3
590,2021-2022,National Health Mission,Technical Evaluation,Works,Samevalue,23
591,2021-2022,National Health Mission,To Be Opened,Goods,Samevalue,1
592,2021-2022,National Health Mission,To Be Opened,Services,Samevalue,2
593,2021-2022,Office of the Chief Electoral Officer Assam,AOC,Goods,Samevalue,1
594,2021-2022,Office of the Chief Electoral Officer Assam,AOC,Services,Samevalue,5
595,2021-2022,Office of the Chief Electoral Officer Assam,Cancelled,Goods,Samevalue,1
596,2021-2022,Office of the Chief Electoral Officer Assam,Cancelled,Services,Samevalue,1
597,2021-2022,Pollution Control Board,AOC,Works,Samevalue,1
598,2021-2022,Pollution Control Board,Cancelled,Goods,Samevalue,1
599,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,Samevalue,23
600,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,Saving,4
601,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,Samevalue,46
602,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Evaluation,Works,Samevalue,4
603,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,Samevalue,10
604,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Bid Opening,Works,Samevalue,1
605,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Works,Samevalue,9
606,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,To Be Opened,Works,Samevalue,1
607,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Goods,Saving,1
608,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Services,Samevalue,1
609,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Services,Saving,1
610,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Samevalue,3
611,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Saving,10
612,2021-2022,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Goods,Samevalue,1
613,2021-2022,Principal Secretary- P and RD- Assam Secretariat,Financial Evaluation,Works,Samevalue,4
614,2021-2022,Principal Secretary- P and RD- Assam Secretariat,To Be Opened,Works,Samevalue,2
615,2021-2022,Principal Secretary-Department of Information Technology,AOC,Goods,Samevalue,1
616,2021-2022,Principal Secretary-Department of Information Technology,AOC,Services,Samevalue,2
617,2021-2022,Principal Secretary-Department of Information Technology,Cancelled,Goods,Samevalue,1
618,2021-2022,Principal Secretary-Department of Information Technology,Cancelled,Services,Samevalue,2
619,2021-2022,Principal Secretary-Department of Information Technology,Cancelled,Works,Samevalue,1
620,2021-2022,Principal Secretary-Department of Information Technology,Retender,Services,Samevalue,1
621,2021-2022,Principal Secretary-Department of Information Technology,Retender,Works,Samevalue,1
622,2021-2022,Principal Secretary-Department of Information Technology,Technical Evaluation,Services,Samevalue,1
623,2021-2022,Principal Secretary-Department of Information Technology,To Be Opened,Services,Samevalue,1
624,2021-2022,Public Health Engineering Department,AOC,Goods,Samevalue,15
625,2021-2022,Public Health Engineering Department,AOC,Services,Overrun,1
626,2021-2022,Public Health Engineering Department,AOC,Works,Samevalue,14
627,2021-2022,Public Health Engineering Department,Cancelled,Goods,Samevalue,5
628,2021-2022,Public Health Engineering Department,Cancelled,Services,Samevalue,1
629,2021-2022,Public Health Engineering Department,Cancelled,Works,Samevalue,12
630,2021-2022,Public Health Engineering Department,Financial Evaluation,Services,Samevalue,1
631,2021-2022,Public Health Engineering Department,Retender,Goods,Samevalue,4
632,2021-2022,Public Works Building and NH Department,AOC,Works,Overrun,16
633,2021-2022,Public Works Building and NH Department,AOC,Works,Samevalue,50
634,2021-2022,Public Works Building and NH Department,AOC,Works,Saving,30
635,2021-2022,Public Works Building and NH Department,Cancelled,Works,Samevalue,18
636,2021-2022,Public Works Building and NH Department,Financial Bid Opening,Works,Samevalue,6
637,2021-2022,Public Works Building and NH Department,Financial Evaluation,Goods,Samevalue,2
638,2021-2022,Public Works Building and NH Department,Financial Evaluation,Works,Samevalue,1
639,2021-2022,Public Works Building and NH Department,Retender,Works,Samevalue,2
640,2021-2022,Public Works Building and NH Department,Technical Bid Opening,Works,Samevalue,3
641,2021-2022,Public Works Building and NH Department,Technical Evaluation,Works,Samevalue,1
642,2021-2022,Public Works Building and NH Department,To Be Opened,Works,Samevalue,1
643,2021-2022,Public Works Roads Department,AOC,Goods,Samevalue,1
644,2021-2022,Public Works Roads Department,AOC,Works,Overrun,5
645,2021-2022,Public Works Roads Department,AOC,Works,Samevalue,396
646,2021-2022,Public Works Roads Department,AOC,Works,Saving,79
647,2021-2022,Public Works Roads Department,Cancelled,Works,Samevalue,87
648,2021-2022,Public Works Roads Department,Financial Bid Opening,Works,Samevalue,242
649,2021-2022,Public Works Roads Department,Financial Evaluation,Works,Samevalue,31
650,2021-2022,Public Works Roads Department,Retender,Works,Samevalue,25
651,2021-2022,Public Works Roads Department,Technical Bid Opening,Works,Samevalue,9
652,2021-2022,Public Works Roads Department,Technical Evaluation,Works,Samevalue,112
653,2021-2022,Public Works Roads Department,To Be Opened,Works,Samevalue,62
654,2021-2022,Public Works Roads Department-Externally Aided Project,AOC,Works,Overrun,2
655,2021-2022,Public Works Roads Department-Externally Aided Project,AOC,Works,Saving,4
656,2021-2022,Public Works Roads Department-Externally Aided Project,Cancelled,Works,Samevalue,1
657,2021-2022,Public Works Roads Department-Externally Aided Project,Financial Bid Opening,Works,Samevalue,1
658,2021-2022,Rashtriya Madhyamik Siksha Abhijan,AOC,Goods,Samevalue,1
659,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Cancelled,Goods,Samevalue,1
660,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Cancelled,Services,Samevalue,1
661,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Goods,Samevalue,2
662,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Technical Evaluation,Services,Samevalue,2
663,2021-2022,SECONDARY EDUCATION DEPARTMENT ASSAM,AOC,Services,Samevalue,1
664,2021-2022,Social Welfare Department,Cancelled,Goods,Samevalue,2
665,2021-2022,Social Welfare Department,Cancelled,Services,Samevalue,1
666,2021-2022,Social Welfare Department,Financial Evaluation,Goods,Samevalue,1
667,2021-2022,Soil Conservation Department,AOC,Works,Samevalue,13
668,2021-2022,Soil Conservation Department,AOC,Works,Saving,3
669,2021-2022,Soil Conservation Department,Retender,Works,Samevalue,2
670,2021-2022,Tea Tribes Welfare Department,AOC,Goods,Samevalue,2
671,2021-2022,Tea Tribes Welfare Department,Cancelled,Services,Samevalue,1
672,2021-2022,Urban Development Department,AOC,Services,Samevalue,1
673,2021-2022,Urban Development Department,AOC,Works,Overrun,2
674,2021-2022,Urban Development Department,AOC,Works,Samevalue,5
675,2021-2022,Urban Development Department,Cancelled,Goods,Samevalue,1
676,2021-2022,Urban Development Department,Cancelled,Works,Samevalue,2
677,2021-2022,Urban Development Department,Financial Bid Opening,Works,Samevalue,1
678,2021-2022,Urban Development Department,Retender,Works,Samevalue,2
679,2021-2022,Urban Development Department,Technical Evaluation,Works,Samevalue,2
680,2021-2022,Urban Development Department,To Be Opened,Works,Samevalue,5
681,2021-2022,Water Resources Department- World Bank Tenders,AOC,Goods,Samevalue,3
682,2021-2022,Water Resources Department- World Bank Tenders,Cancelled,Goods,Samevalue,1
683,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,Overrun,4
684,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,Samevalue,40
685,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,Saving,18
686,2021-2022,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,Samevalue,7
687,2021-2022,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,Samevalue,2
688,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,Samevalue,2
689,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Works,Samevalue,16
690,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,Samevalue,4
691,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,Samevalue,2
692,2021-2022,Welfare of Plain Tribes and Backward Classes,Retender,Works,Samevalue,2
693,2021-2022,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Works,Samevalue,3
694,2021-2022,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Works,Samevalue,2
695,2021-2022,Welfare of Plain Tribes and Backward Classes,To Be Opened,Goods,Samevalue,1
696,2021-2022,Welfare of Plain Tribes and Backward Classes,To Be Opened,Works,Samevalue,3
697,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Goods,Samevalue,2
698,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Services,Samevalue,6
699,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Services,Saving,3
700,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Works,Overrun,1
701,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Works,Samevalue,3
702,2022-2023,ASSAM CANCER CARE FOUNDATION,Cancelled,Services,Samevalue,2
703,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,Samevalue,4
704,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,Saving,4
705,2022-2023,Animal Husbandry and Veterinary Department,AOC,Services,Samevalue,2
706,2022-2023,Animal Husbandry and Veterinary Department,AOC,Services,Saving,3
707,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,Overrun,2
708,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,Samevalue,20
709,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,Saving,24
710,2022-2023,Animal Husbandry and Veterinary Department,Cancelled,Goods,Samevalue,9
711,2022-2023,Animal Husbandry and Veterinary Department,Cancelled,Services,Samevalue,1
712,2022-2023,Animal Husbandry and Veterinary Department,Cancelled,Works,Samevalue,14
713,2022-2023,Animal Husbandry and Veterinary Department,Financial Bid Opening,Services,Samevalue,3
714,2022-2023,Animal Husbandry and Veterinary Department,Financial Bid Opening,Works,Samevalue,7
715,2022-2023,Animal Husbandry and Veterinary Department,Financial Evaluation,Goods,Samevalue,1
