,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,tender/procurementMethod,tender_count
390,2020-2021,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Works,Open,1
391,2020-2021,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Works,Selective,1
392,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Goods,Open Tender,3
393,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Services,Open Tender,3
394,2021-2022,Animal Husbandry and Veterinary Department,AOC,Goods,Open Tender,2
395,2021-2022,Animal Husbandry and Veterinary Department,AOC,Works,Open,2
396,2021-2022,Animal Husbandry and Veterinary Department,AOC,Works,Open Tender,5
397,2021-2022,Animal Husbandry and Veterinary Department,Cancelled,Goods,Open Tender,1
398,2021-2022,Animal Husbandry and Veterinary Department,Cancelled,Works,Open,2
399,2021-2022,Animal Husbandry and Veterinary Department-Externally Aided Project,Cancelled,Goods,Open,1
400,2021-2022,Assam Agricultural University,AOC,Works,Open Tender,2
401,2021-2022,Assam Electricity Grid Corporation Ltd,AOC,Goods,Open,3
402,2021-2022,Assam Electricity Grid Corporation Ltd,AOC,Works,Open,9
403,2021-2022,Assam Electricity Grid Corporation Ltd,AOC,Works,Open Tender,2
404,2021-2022,Assam Electricity Grid Corporation Ltd,Cancelled,Works,Open,1
405,2021-2022,Assam Electricity Grid Corporation Ltd,Cancelled,Works,Open Tender,1
406,2021-2022,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Goods,Global Tenders,1
407,2021-2022,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Goods,Open,1
408,2021-2022,Assam Inland Water Transport Development Society,AOC,Services,Limited,1
409,2021-2022,Assam Inland Water Transport Development Society,AOC,Services,Open,1
410,2021-2022,Assam Inland Water Transport Development Society,AOC,Works,Open,1
411,2021-2022,Assam Inland Water Transport Development Society,Technical Evaluation,Services,Open,1
412,2021-2022,Assam Police,Cancelled,Goods,Open,1
413,2021-2022,Assam Police,Cancelled,Services,Open Tender,1
414,2021-2022,Assam Police,Financial Evaluation,Goods,Open,1
415,2021-2022,Assam Police,Technical Bid Opening,Goods,Open,2
416,2021-2022,Assam Police,Technical Evaluation,Goods,Open,1
417,2021-2022,Assam Police Housing Corporation Ltd,AOC,Works,Open,7
418,2021-2022,Assam Police Housing Corporation Ltd,AOC,Works,Open Tender,3
419,2021-2022,Assam Police Housing Corporation Ltd,Cancelled,Works,Open,6
420,2021-2022,Assam Police Housing Corporation Ltd,Cancelled,Works,Open Tender,6
421,2021-2022,Assam Police Housing Corporation Ltd,Technical Evaluation,Works,Open,8
422,2021-2022,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,Open,5
423,2021-2022,Assam Power Distribution Company Ltd,AOC,Goods,Open Tender,1
424,2021-2022,Assam Power Distribution Company Ltd,AOC,Services,Open,2
425,2021-2022,Assam Power Distribution Company Ltd,AOC,Services,Open Tender,2
426,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,Open,2
427,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,Open Tender,80
428,2021-2022,Assam Power Distribution Company Ltd,Cancelled,Goods,Open,1
429,2021-2022,Assam Power Distribution Company Ltd,Cancelled,Services,Open,2
430,2021-2022,Assam Power Distribution Company Ltd,Cancelled,Works,Open Tender,3
431,2021-2022,Assam Power Distribution Company Ltd,Financial Bid Opening,Services,Open Tender,1
432,2021-2022,Assam Power Distribution Company Ltd,Technical Evaluation,Services,Open,1
433,2021-2022,Assam Power Generation Company Limited,AOC,Services,Open Tender,3
434,2021-2022,Assam Power Generation Company Limited,AOC,Works,Open,1
435,2021-2022,Assam Power Generation Company Limited,Cancelled,Works,Open Tender,2
436,2021-2022,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,Open Tender,1
437,2021-2022,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,Global Tenders,1
438,2021-2022,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,Open Tender,1
439,2021-2022,Assam Science and Technology University,Cancelled,Goods,Open,1
440,2021-2022,Assam State Disaster Management Authority,AOC,Goods,Open,2
441,2021-2022,Assam State Disaster Management Authority,AOC,Services,Open Tender,1
442,2021-2022,Assam State Disaster Management Authority,Cancelled,Goods,Open,1
443,2021-2022,Assam State Transport Corporation,Cancelled,Services,Open,1
444,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Goods,Open,9
445,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Goods,Open Tender,1
446,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Services,Open,4
447,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Works,Open,2
448,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,Open,15
449,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Services,Open,10
450,2021-2022,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,Open,4
451,2021-2022,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Goods,Open,1
452,2021-2022,Axom Sarba Siksha Abhijan Mission,Financial Evaluation,Services,Open Tender,2
453,2021-2022,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Goods,Open,2
454,2021-2022,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,Open,2
455,2021-2022,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,Open,1
456,2021-2022,Axom Sarba Siksha Abhijan Mission,To Be Opened,Goods,Open,1
457,2021-2022,Axom Sarba Siksha Abhijan Mission,To Be Opened,Services,Open,2
458,2021-2022,BODOLAND UNIVERSITY,AOC,Works,Open,4
459,2021-2022,BODOLAND UNIVERSITY,Cancelled,Works,Open,2
460,2021-2022,Bodoland Territorial Council,AOC,Goods,Open,1
461,2021-2022,Bodoland Territorial Council,AOC,Goods,Open Tender,1
462,2021-2022,Bodoland Territorial Council,AOC,Works,Open,209
463,2021-2022,Bodoland Territorial Council,Cancelled,Goods,Open,1
464,2021-2022,Bodoland Territorial Council,Cancelled,Works,Open,45
465,2021-2022,Bodoland Territorial Council,Financial Bid Opening,Goods,Open,8
466,2021-2022,Bodoland Territorial Council,Financial Bid Opening,Works,Open,3
467,2021-2022,Bodoland Territorial Council,Financial Evaluation,Goods,Open,19
468,2021-2022,Bodoland Territorial Council,Financial Evaluation,Works,Open,4
469,2021-2022,Bodoland Territorial Council,Retender,Goods,Open,2
470,2021-2022,Bodoland Territorial Council,Technical Bid Opening,Goods,Open,4
471,2021-2022,Bodoland Territorial Council,Technical Bid Opening,Works,Open,6
472,2021-2022,Bodoland Territorial Council,Technical Evaluation,Goods,Open,1
473,2021-2022,Bodoland Territorial Council,Technical Evaluation,Works,Open,8
474,2021-2022,Bodoland Territorial Council,To Be Opened,Works,Open,2
475,2021-2022,Bodoland Territorial Council-PWD,AOC,Works,Open,228
476,2021-2022,Bodoland Territorial Council-PWD,AOC,Works,Open Tender,1
477,2021-2022,Bodoland Territorial Council-PWD,Cancelled,Works,Open,38
478,2021-2022,Bodoland Territorial Council-PWD,Technical Evaluation,Works,Open,2
479,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,Open,46
480,2021-2022,Bodoland Territorial Council-WRD,AOC,Works,Open Tender,9
481,2021-2022,Bodoland Territorial Council-WRD,Cancelled,Works,Open Tender,2
482,2021-2022,Cooperation Department,AOC,Goods,Open Tender,5
483,2021-2022,Cooperation Department,AOC,Services,Open Tender,1
484,2021-2022,Cooperation Department,Cancelled,Services,Open,1
485,2021-2022,Cooperation Department,Retender,Goods,Open,2
486,2021-2022,Department of Cultural Affairs,AOC,Works,Open Tender,2
487,2021-2022,Department of Cultural Affairs,Financial Bid Opening,Goods,Open,2
488,2021-2022,Department of Handloom Textile and Sericulture,AOC,Goods,Open,1
489,2021-2022,Department of Handloom Textile and Sericulture,AOC,Works,Open,1
490,2021-2022,Department of Handloom Textile and Sericulture,Financial Evaluation,Goods,Open,1
491,2021-2022,Department of Higher Education,Technical Evaluation,Works,Open,1
492,2021-2022,Department of Housing and Urban Affairs,AOC,Works,Open Tender,14
493,2021-2022,Department of Housing and Urban Affairs,Cancelled,Works,Open Tender,3
494,2021-2022,Department of Labour and Welfare,AOC,Goods,Open,1
495,2021-2022,Department of Labour and Welfare,AOC,Services,Open,1
496,2021-2022,Department of Labour and Welfare,Cancelled,Goods,Open,2
497,2021-2022,Department of Labour and Welfare,Cancelled,Services,Open,1
498,2021-2022,Department of Science and Technology,AOC,Services,Open Tender,2
499,2021-2022,Department of Tourism,AOC,Services,Open,1
500,2021-2022,Department of Tourism,AOC,Services,Open Tender,2
501,2021-2022,Department of Tourism,Financial Evaluation,Services,Open,1
502,2021-2022,Department of Tourism,Technical Evaluation,Services,Open,1
503,2021-2022,Department of Tourism,To Be Opened,Services,Open,12
504,2021-2022,Department of Water Resources,AOC,Services,Open,1
505,2021-2022,Department of Water Resources,AOC,Works,Open,120
506,2021-2022,Department of Water Resources,AOC,Works,Open Tender,35
507,2021-2022,Department of Water Resources,Cancelled,Goods,Open,1
508,2021-2022,Department of Water Resources,Cancelled,Services,Open,1
509,2021-2022,Department of Water Resources,Cancelled,Works,Open,17
510,2021-2022,Department of Water Resources,Cancelled,Works,Open Tender,39
511,2021-2022,Department of Water Resources,Financial Bid Opening,Works,Open,1
512,2021-2022,Department of Water Resources,Financial Evaluation,Works,Open Tender,5
513,2021-2022,Department of Water Resources,Retender,Works,Open,32
514,2021-2022,Department of Water Resources,Retender,Works,Open Tender,4
515,2021-2022,Department of Water Resources,Technical Evaluation,Services,Open,1
516,2021-2022,Dibrugarh University,AOC,Goods,Open Tender,2
517,2021-2022,Dibrugarh University,Cancelled,Goods,Open,1
518,2021-2022,Director- Fire and Emergency Services-Assam,AOC,Works,Open,15
519,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,Open Tender,1
520,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Services,Open Tender,1
521,2021-2022,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,Open Tender,3
522,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Goods,Open,2
523,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Services,Open,1
524,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Services,Open Tender,1
525,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Works,Open,1
526,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Works,Open Tender,12
527,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,Open,1
528,2021-2022,Directorate of Agriculture and Assam Seed Corporation,Technical Evaluation,Goods,Open,1
529,2021-2022,Directorate of Horticulture Assam,Financial Evaluation,Goods,Open,2
530,2021-2022,Directorate of Horticulture Assam,Financial Evaluation,Goods,Open Tender,1
531,2021-2022,Directorate of Sports and Youth Welfare - Assam,AOC,Goods,Open,1
532,2021-2022,Directorate of Sports and Youth Welfare - Assam,AOC,Services,Open,1
533,2021-2022,Directorate of Sports and Youth Welfare - Assam,Cancelled,Goods,Open,1
534,2021-2022,Directorate of Sports and Youth Welfare - Assam,Cancelled,Goods,Open Tender,1
535,2021-2022,Directorate of Sports and Youth Welfare - Assam,Retender,Goods,Open,1
536,2021-2022,Finance Department - World Bank Tenders,AOC,Goods,Open,1
537,2021-2022,Finance Department - World Bank Tenders,AOC,Goods,Open Tender,1
538,2021-2022,Finance Department - World Bank Tenders,Financial Bid Opening,Services,Selective,1
539,2021-2022,Food Civil Supplies and Consumer Affairs Department,AOC,Services,Open,1
540,2021-2022,Gauhati High Court - Guwahati,AOC,Goods,Open,2
541,2021-2022,Gauhati University,AOC,Works,Open,1
542,2021-2022,Guwahati Metropolitan Development Authority,AOC,Works,Open,1
543,2021-2022,Guwahati Metropolitan Development Authority,AOC,Works,Open Tender,3
544,2021-2022,Guwahati Metropolitan Development Authority,Cancelled,Services,Open,1
545,2021-2022,Guwahati Metropolitan Development Authority,Cancelled,Works,Open,2
546,2021-2022,Guwahati Metropolitan Development Authority,Technical Bid Opening,Works,Open,2
547,2021-2022,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,Open,4
548,2021-2022,Guwahati Metropolitan Development Authority,To Be Opened,Works,Open,1
549,2021-2022,Guwahati Municipal Corporation,Cancelled,Goods,Open,1
550,2021-2022,Guwahati Municipal Corporation,Cancelled,Works,Open,33
551,2021-2022,Guwahati Municipal Corporation,Cancelled,Works,Open Tender,18
552,2021-2022,Guwahati Municipal Corporation,Financial Bid Opening,Works,Open,14
553,2021-2022,Guwahati Municipal Corporation,Financial Bid Opening,Works,Open Tender,3
554,2021-2022,Guwahati Municipal Corporation,Financial Evaluation,Works,Open,72
555,2021-2022,Guwahati Municipal Corporation,Retender,Works,Open,17
556,2021-2022,Guwahati Municipal Corporation,Technical Bid Opening,Works,Open,2
557,2021-2022,Guwahati Municipal Corporation,To Be Opened,Goods,Open,1
558,2021-2022,Guwahati Municipal Corporation,To Be Opened,Works,Open,6
559,2021-2022,Guwahati Smart City Ltd.,Cancelled,Works,Open,1
560,2021-2022,Health and Family Welfare Department,AOC,Goods,Open,6
561,2021-2022,Health and Family Welfare Department,AOC,Goods,Open Tender,8
562,2021-2022,Health and Family Welfare Department,AOC,Services,Open,2
563,2021-2022,Health and Family Welfare Department,AOC,Services,Open Tender,1
564,2021-2022,Health and Family Welfare Department,Cancelled,Goods,Open,8
565,2021-2022,Health and Family Welfare Department,Cancelled,Goods,Open Tender,9
566,2021-2022,Health and Family Welfare Department,Cancelled,Services,Open,2
567,2021-2022,Health and Family Welfare Department,Cancelled,Services,Open Tender,1
568,2021-2022,Health and Family Welfare Department,Financial Evaluation,Goods,Open,2
569,2021-2022,Health and Family Welfare Department,Financial Evaluation,Goods,Open Tender,1
570,2021-2022,Home B,AOC,Goods,Open Tender,34
571,2021-2022,Home B,Cancelled,Goods,Open,28
572,2021-2022,Home B,Cancelled,Goods,Open Tender,3
573,2021-2022,Home B,Financial Evaluation,Goods,Open Tender,2
574,2021-2022,Home B,Technical Bid Opening,Goods,Open,1
575,2021-2022,Indigenous and Tribal Faith and Culture Department,AOC,Works,Open Tender,8
576,2021-2022,Industries and Commerce Department,AOC,Goods,Limited,4
577,2021-2022,Industries and Commerce Department,AOC,Goods,Open,1
578,2021-2022,Industries and Commerce Department,AOC,Goods,Open Limited,3
579,2021-2022,Industries and Commerce Department,AOC,Goods,Open Tender,5
580,2021-2022,Industries and Commerce Department,AOC,Services,Open,4
581,2021-2022,Industries and Commerce Department,AOC,Services,Open Limited,1
582,2021-2022,Industries and Commerce Department,AOC,Services,Open Tender,5
583,2021-2022,Industries and Commerce Department,AOC,Services,Selective,1
584,2021-2022,Industries and Commerce Department,AOC,Works,Open,8
585,2021-2022,Industries and Commerce Department,AOC,Works,Open Limited,11
586,2021-2022,Industries and Commerce Department,AOC,Works,Open Tender,19
587,2021-2022,Industries and Commerce Department,AOC,Works,Selective,1
588,2021-2022,Industries and Commerce Department,Cancelled,Goods,Open,2
589,2021-2022,Industries and Commerce Department,Cancelled,Goods,Open Tender,5
590,2021-2022,Industries and Commerce Department,Cancelled,Services,Open,1
591,2021-2022,Industries and Commerce Department,Cancelled,Services,Open Tender,1
592,2021-2022,Industries and Commerce Department,Cancelled,Works,Open,6
593,2021-2022,Industries and Commerce Department,Financial Bid Opening,Services,Open,1
594,2021-2022,Industries and Commerce Department,Retender,Services,Open,1
595,2021-2022,Industries and Commerce Department,Retender,Works,Open,6
596,2021-2022,Industries and Commerce Department,Technical Evaluation,Goods,Open,1
597,2021-2022,Industries and Commerce Department,Technical Evaluation,Works,Open,3
598,2021-2022,Industries and Commerce Department,Technical Evaluation,Works,Open Tender,1
599,2021-2022,Information - Public Relations - Printing and Stationery Department,Cancelled,Goods,Open Tender,2
600,2021-2022,Information and Public Relations Department,AOC,Goods,Open Tender,1
601,2021-2022,Information and Public Relations Department,AOC,Services,Open,2
602,2021-2022,Information and Public Relations Department,AOC,Services,Open Tender,1
603,2021-2022,Information and Public Relations Department,Cancelled,Goods,Open,1
604,2021-2022,Information and Public Relations Department,Retender,Goods,Open,1
605,2021-2022,Irrigation Department,AOC,Goods,Open Tender,2
606,2021-2022,Irrigation Department,AOC,Works,Open,32
607,2021-2022,Irrigation Department,AOC,Works,Open Tender,1
608,2021-2022,Irrigation Department,Cancelled,Works,Open,7
609,2021-2022,Irrigation Department,Financial Bid Opening,Works,Open,2
610,2021-2022,Karbi Anglong Autonomous Council,AOC,Works,Open,17
611,2021-2022,Karbi Anglong Autonomous Council,Financial Evaluation,Works,Open,1
612,2021-2022,Karbi Anglong Autonomous Council,Retender,Works,Open,1
613,2021-2022,Karbi Anglong Autonomous Council,Technical Evaluation,Works,Open,2
614,2021-2022,Karbi Anglong Autonomous Council,To Be Opened,Works,Open,1
615,2021-2022,National Health Mission,AOC,Goods,Open,4
616,2021-2022,National Health Mission,AOC,Goods,Open Limited,2
617,2021-2022,National Health Mission,AOC,Goods,Open Tender,1
618,2021-2022,National Health Mission,AOC,Services,Open,2
619,2021-2022,National Health Mission,AOC,Works,Open,1
620,2021-2022,National Health Mission,AOC,Works,Open Tender,94
621,2021-2022,National Health Mission,Cancelled,Goods,Open,1
622,2021-2022,National Health Mission,Cancelled,Works,Open,1
623,2021-2022,National Health Mission,Cancelled,Works,Open Tender,126
624,2021-2022,National Health Mission,Financial Bid Opening,Goods,Open,3
625,2021-2022,National Health Mission,Financial Bid Opening,Services,Selective,1
626,2021-2022,National Health Mission,Financial Bid Opening,Works,Open,13
627,2021-2022,National Health Mission,Financial Evaluation,Works,Open Tender,1
628,2021-2022,National Health Mission,Retender,Goods,Open,1
629,2021-2022,National Health Mission,Retender,Works,Open Tender,2
630,2021-2022,National Health Mission,Technical Bid Opening,Goods,Open Limited,3
631,2021-2022,National Health Mission,Technical Evaluation,Works,Open,19
632,2021-2022,National Health Mission,Technical Evaluation,Works,Open Tender,4
633,2021-2022,National Health Mission,To Be Opened,Goods,Open,1
634,2021-2022,National Health Mission,To Be Opened,Services,Open,2
635,2021-2022,Office of the Chief Electoral Officer Assam,AOC,Goods,Open,1
636,2021-2022,Office of the Chief Electoral Officer Assam,AOC,Services,Open,1
637,2021-2022,Office of the Chief Electoral Officer Assam,AOC,Services,Open Tender,4
638,2021-2022,Office of the Chief Electoral Officer Assam,Cancelled,Goods,Open,1
639,2021-2022,Office of the Chief Electoral Officer Assam,Cancelled,Services,Open,1
640,2021-2022,Pollution Control Board,AOC,Works,Open,1
641,2021-2022,Pollution Control Board,Cancelled,Goods,Open,1
642,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,Open,25
643,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,Open Tender,2
644,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,Open,45
645,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,Open Tender,1
646,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Evaluation,Works,Open,4
647,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,Open,10
648,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Bid Opening,Works,Open,1
649,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Works,Open,9
650,2021-2022,Pr. Chief Conservator of Forest and Head of Forest Force,To Be Opened,Works,Open,1
651,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Goods,Open Tender,1
652,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Services,Open Tender,2
653,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Open,3
654,2021-2022,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Open Tender,10
655,2021-2022,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Goods,Open,1
656,2021-2022,Principal Secretary- P and RD- Assam Secretariat,Financial Evaluation,Works,Open Tender,4
657,2021-2022,Principal Secretary- P and RD- Assam Secretariat,To Be Opened,Works,Open,2
658,2021-2022,Principal Secretary-Department of Information Technology,AOC,Goods,Open Tender,1
659,2021-2022,Principal Secretary-Department of Information Technology,AOC,Services,Open Tender,2
660,2021-2022,Principal Secretary-Department of Information Technology,Cancelled,Goods,Open Tender,1
661,2021-2022,Principal Secretary-Department of Information Technology,Cancelled,Services,Open,2
662,2021-2022,Principal Secretary-Department of Information Technology,Cancelled,Works,Open,1
663,2021-2022,Principal Secretary-Department of Information Technology,Retender,Services,Open,1
664,2021-2022,Principal Secretary-Department of Information Technology,Retender,Works,Open,1
665,2021-2022,Principal Secretary-Department of Information Technology,Technical Evaluation,Services,Open,1
666,2021-2022,Principal Secretary-Department of Information Technology,To Be Opened,Services,Open,1
667,2021-2022,Public Health Engineering Department,AOC,Goods,Open,15
668,2021-2022,Public Health Engineering Department,AOC,Services,Open Tender,1
669,2021-2022,Public Health Engineering Department,AOC,Works,Open,14
670,2021-2022,Public Health Engineering Department,Cancelled,Goods,Open,5
671,2021-2022,Public Health Engineering Department,Cancelled,Services,Open Tender,1
672,2021-2022,Public Health Engineering Department,Cancelled,Works,Open,12
673,2021-2022,Public Health Engineering Department,Financial Evaluation,Services,Open Tender,1
674,2021-2022,Public Health Engineering Department,Retender,Goods,Open,4
675,2021-2022,Public Works Building and NH Department,AOC,Works,Open,51
676,2021-2022,Public Works Building and NH Department,AOC,Works,Open Tender,45
677,2021-2022,Public Works Building and NH Department,Cancelled,Works,Open,8
678,2021-2022,Public Works Building and NH Department,Cancelled,Works,Open Tender,10
679,2021-2022,Public Works Building and NH Department,Financial Bid Opening,Works,Open,6
680,2021-2022,Public Works Building and NH Department,Financial Evaluation,Goods,Open,2
681,2021-2022,Public Works Building and NH Department,Financial Evaluation,Works,Open,1
682,2021-2022,Public Works Building and NH Department,Retender,Works,Open,2
683,2021-2022,Public Works Building and NH Department,Technical Bid Opening,Works,Open,3
684,2021-2022,Public Works Building and NH Department,Technical Evaluation,Works,Open,1
685,2021-2022,Public Works Building and NH Department,To Be Opened,Works,Open,1
686,2021-2022,Public Works Roads Department,AOC,Goods,Open,1
687,2021-2022,Public Works Roads Department,AOC,Works,Open,399
688,2021-2022,Public Works Roads Department,AOC,Works,Open Tender,81
689,2021-2022,Public Works Roads Department,Cancelled,Works,Open,85
690,2021-2022,Public Works Roads Department,Cancelled,Works,Open Tender,2
691,2021-2022,Public Works Roads Department,Financial Bid Opening,Works,Open,241
692,2021-2022,Public Works Roads Department,Financial Bid Opening,Works,Open Tender,1
693,2021-2022,Public Works Roads Department,Financial Evaluation,Works,Open,22
694,2021-2022,Public Works Roads Department,Financial Evaluation,Works,Open Tender,9
695,2021-2022,Public Works Roads Department,Retender,Works,Open,25
696,2021-2022,Public Works Roads Department,Technical Bid Opening,Works,Open,9
697,2021-2022,Public Works Roads Department,Technical Evaluation,Works,Open,106
698,2021-2022,Public Works Roads Department,Technical Evaluation,Works,Open Tender,6
699,2021-2022,Public Works Roads Department,To Be Opened,Works,Open,62
700,2021-2022,Public Works Roads Department-Externally Aided Project,AOC,Works,Global Tenders,1
701,2021-2022,Public Works Roads Department-Externally Aided Project,AOC,Works,Open Tender,5
702,2021-2022,Public Works Roads Department-Externally Aided Project,Cancelled,Works,Open Tender,1
703,2021-2022,Public Works Roads Department-Externally Aided Project,Financial Bid Opening,Works,Open Tender,1
704,2021-2022,Rashtriya Madhyamik Siksha Abhijan,AOC,Goods,Open,1
705,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Cancelled,Goods,Open,1
706,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Cancelled,Services,Open,1
707,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Goods,Open,2
708,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Technical Evaluation,Services,Open,2
709,2021-2022,SECONDARY EDUCATION DEPARTMENT ASSAM,AOC,Services,Open Tender,1
710,2021-2022,Social Welfare Department,Cancelled,Goods,Open,1
711,2021-2022,Social Welfare Department,Cancelled,Goods,Open Tender,1
712,2021-2022,Social Welfare Department,Cancelled,Services,Open,1
713,2021-2022,Social Welfare Department,Financial Evaluation,Goods,Open Tender,1
714,2021-2022,Soil Conservation Department,AOC,Works,Open,13
715,2021-2022,Soil Conservation Department,AOC,Works,Open Tender,3
716,2021-2022,Soil Conservation Department,Retender,Works,Open,2
717,2021-2022,Tea Tribes Welfare Department,AOC,Goods,Open,2
718,2021-2022,Tea Tribes Welfare Department,Cancelled,Services,Open,1
719,2021-2022,Urban Development Department,AOC,Services,Open Tender,1
720,2021-2022,Urban Development Department,AOC,Works,Open,5
721,2021-2022,Urban Development Department,AOC,Works,Open Tender,2
722,2021-2022,Urban Development Department,Cancelled,Goods,Open,1
723,2021-2022,Urban Development Department,Cancelled,Works,Open,2
724,2021-2022,Urban Development Department,Financial Bid Opening,Works,Open,1
725,2021-2022,Urban Development Department,Retender,Works,Open,2
726,2021-2022,Urban Development Department,Technical Evaluation,Works,Open,2
727,2021-2022,Urban Development Department,To Be Opened,Works,Open,5
728,2021-2022,Water Resources Department- World Bank Tenders,AOC,Goods,Open Tender,3
729,2021-2022,Water Resources Department- World Bank Tenders,Cancelled,Goods,Open,1
730,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,Limited,12
731,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,Open,25
732,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,Open Tender,16
733,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,Selective,9
734,2021-2022,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,Open,1
735,2021-2022,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,Open Tender,6
736,2021-2022,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,Open,2
737,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,Open,2
738,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Works,Open,9
739,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Works,Selective,7
740,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,Open,4
741,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,Open,1
742,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,Selective,1
743,2021-2022,Welfare of Plain Tribes and Backward Classes,Retender,Works,Open,1
744,2021-2022,Welfare of Plain Tribes and Backward Classes,Retender,Works,Selective,1
745,2021-2022,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Works,Open,3
746,2021-2022,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Works,Selective,2
747,2021-2022,Welfare of Plain Tribes and Backward Classes,To Be Opened,Goods,Open,1
748,2021-2022,Welfare of Plain Tribes and Backward Classes,To Be Opened,Works,Open,3
749,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Goods,Open Tender,2
750,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Services,Open Tender,9
751,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Works,Open Tender,4
752,2022-2023,ASSAM CANCER CARE FOUNDATION,Cancelled,Services,Open Tender,2
753,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,Open Tender,8
754,2022-2023,Animal Husbandry and Veterinary Department,AOC,Services,Open Tender,4
755,2022-2023,Animal Husbandry and Veterinary Department,AOC,Services,Single,1
756,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,Open Tender,46
757,2022-2023,Animal Husbandry and Veterinary Department,Cancelled,Goods,Open Tender,9
758,2022-2023,Animal Husbandry and Veterinary Department,Cancelled,Services,Open Tender,1
