,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,number_of_bids,tender_count
369,2020-2021,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,3 bids,1
370,2020-2021,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,2 bids,1
371,2020-2021,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Goods,4 and more bids,1
372,2020-2021,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Works,2 bids,1
373,2020-2021,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,4 and more bids,3
374,2020-2021,Directorate of Horticulture Assam,AOC,Goods,4 and more bids,1
375,2020-2021,Directorate of Horticulture Assam,Cancelled,Works,2 bids,1
376,2020-2021,Directorate of Land Records and Survey etc. Assam,AOC,Goods,3 bids,2
377,2020-2021,Directorate of Land Records and Survey etc. Assam,AOC,Works,3 bids,1
378,2020-2021,Directorate of Sports and Youth Welfare - Assam,AOC,Goods,3 bids,1
379,2020-2021,Elementary Education Department,AOC,Goods,2 bids,1
380,2020-2021,Elementary Education Department,AOC,Services,4 and more bids,1
381,2020-2021,Elementary Education Department,Retender,Services,3 bids,1
382,2020-2021,Finance Department - World Bank Tenders,AOC,Goods,3 bids,1
383,2020-2021,Finance Department - World Bank Tenders,AOC,Services,1 bids,3
384,2020-2021,Finance Department - World Bank Tenders,AOC,Services,3 bids,2
385,2020-2021,Finance Department - World Bank Tenders,AOC,Services,4 and more bids,2
386,2020-2021,Food Civil Supplies and Consumer Affairs Department,AOC,Goods,2 bids,2
387,2020-2021,Food Civil Supplies and Consumer Affairs Department,AOC,Services,4 and more bids,1
388,2020-2021,Food Civil Supplies and Consumer Affairs Department,Financial Bid Opening,Goods,3 bids,1
389,2020-2021,Food Civil Supplies and Consumer Affairs Department,Financial Bid Opening,Goods,4 and more bids,1
390,2020-2021,Gauhati University,AOC,Works,4 and more bids,1
391,2020-2021,Gauhati University,Retender,Works,4 and more bids,1
392,2020-2021,Guwahati Metropolitan Development Authority,AOC,Services,4 and more bids,1
393,2020-2021,Guwahati Metropolitan Development Authority,AOC,Works,0 bids,1
394,2020-2021,Guwahati Metropolitan Development Authority,AOC,Works,4 and more bids,1
395,2020-2021,Guwahati Metropolitan Development Authority,Cancelled,Works,0 bids,1
396,2020-2021,Guwahati Metropolitan Development Authority,Cancelled,Works,4 and more bids,1
397,2020-2021,Guwahati Metropolitan Development Authority,Technical Evaluation,Services,4 and more bids,1
398,2020-2021,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,2 bids,1
399,2020-2021,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,4 and more bids,1
400,2020-2021,Guwahati Municipal Corporation,AOC,Goods,2 bids,1
401,2020-2021,Guwahati Municipal Corporation,AOC,Services,1 bids,1
402,2020-2021,Guwahati Municipal Corporation,AOC,Works,0 bids,1
403,2020-2021,Guwahati Municipal Corporation,AOC,Works,4 and more bids,7
404,2020-2021,Guwahati Municipal Corporation,Cancelled,Goods,3 bids,1
405,2020-2021,Guwahati Municipal Corporation,Cancelled,Works,0 bids,29
406,2020-2021,Guwahati Municipal Corporation,Cancelled,Works,1 bids,23
407,2020-2021,Guwahati Municipal Corporation,Cancelled,Works,2 bids,3
408,2020-2021,Guwahati Municipal Corporation,Cancelled,Works,3 bids,2
409,2020-2021,Guwahati Municipal Corporation,Cancelled,Works,4 and more bids,5
410,2020-2021,Guwahati Municipal Corporation,Financial Bid Opening,Works,2 bids,2
411,2020-2021,Guwahati Municipal Corporation,Financial Evaluation,Works,1 bids,4
412,2020-2021,Guwahati Municipal Corporation,Financial Evaluation,Works,2 bids,1
413,2020-2021,Guwahati Municipal Corporation,Financial Evaluation,Works,4 and more bids,1
414,2020-2021,Guwahati Municipal Corporation,Retender,Works,0 bids,3
415,2020-2021,Guwahati Municipal Corporation,Retender,Works,1 bids,4
416,2020-2021,Guwahati Municipal Corporation,Retender,Works,2 bids,3
417,2020-2021,Guwahati Smart City Ltd.,Cancelled,Works,3 bids,1
418,2020-2021,Guwahati Smart City Ltd.,Cancelled,Works,4 and more bids,2
419,2020-2021,Health and Family Welfare Department,AOC,Goods,0 bids,1
420,2020-2021,Health and Family Welfare Department,AOC,Goods,1 bids,2
421,2020-2021,Health and Family Welfare Department,AOC,Goods,2 bids,4
422,2020-2021,Health and Family Welfare Department,AOC,Goods,3 bids,3
423,2020-2021,Health and Family Welfare Department,AOC,Goods,4 and more bids,10
424,2020-2021,Health and Family Welfare Department,AOC,Services,0 bids,1
425,2020-2021,Health and Family Welfare Department,AOC,Services,4 and more bids,7
426,2020-2021,Health and Family Welfare Department,Cancelled,Goods,0 bids,3
427,2020-2021,Health and Family Welfare Department,Cancelled,Goods,1 bids,1
428,2020-2021,Health and Family Welfare Department,Cancelled,Goods,2 bids,2
429,2020-2021,Health and Family Welfare Department,Cancelled,Goods,3 bids,5
430,2020-2021,Health and Family Welfare Department,Cancelled,Goods,4 and more bids,3
431,2020-2021,Health and Family Welfare Department,Cancelled,Services,2 bids,1
432,2020-2021,Health and Family Welfare Department,Cancelled,Services,4 and more bids,1
433,2020-2021,Health and Family Welfare Department,Financial Evaluation,Goods,2 bids,2
434,2020-2021,Health and Family Welfare Department,Financial Evaluation,Goods,3 bids,1
435,2020-2021,Health and Family Welfare Department,Financial Evaluation,Goods,4 and more bids,4
436,2020-2021,Health and Family Welfare Department,Financial Evaluation,Services,4 and more bids,1
437,2020-2021,Health and Family Welfare Department,Retender,Goods,0 bids,3
438,2020-2021,Health and Family Welfare Department,Retender,Goods,1 bids,2
439,2020-2021,Health and Family Welfare Department,Retender,Goods,3 bids,1
440,2020-2021,Health and Family Welfare Department,Retender,Services,1 bids,1
441,2020-2021,Health and Family Welfare Department,Technical Evaluation,Goods,0 bids,1
442,2020-2021,Health and Family Welfare Department,Technical Evaluation,Goods,4 and more bids,4
443,2020-2021,Health and Family Welfare Department,To Be Opened,Goods,0 bids,1
444,2020-2021,Higher Education (Technical) Department,AOC,Goods,3 bids,2
445,2020-2021,Higher Education (Technical) Department,Financial Evaluation,Goods,3 bids,1
446,2020-2021,Hill Areas Department,AOC,Goods,1 bids,9
447,2020-2021,Hill Areas Department,AOC,Goods,2 bids,4
448,2020-2021,Hill Areas Department,Retender,Goods,0 bids,1
449,2020-2021,Home B,AOC,Goods,1 bids,1
450,2020-2021,Home B,AOC,Goods,2 bids,2
451,2020-2021,Home B,AOC,Goods,3 bids,2
452,2020-2021,Home B,AOC,Goods,4 and more bids,10
453,2020-2021,Home B,Cancelled,Goods,0 bids,4
454,2020-2021,Home B,Cancelled,Goods,2 bids,1
455,2020-2021,Home B,Cancelled,Goods,3 bids,1
456,2020-2021,Home B,Cancelled,Goods,4 and more bids,6
457,2020-2021,Industries and Commerce Department,AOC,Goods,0 bids,2
458,2020-2021,Industries and Commerce Department,AOC,Goods,1 bids,1
459,2020-2021,Industries and Commerce Department,AOC,Goods,2 bids,5
460,2020-2021,Industries and Commerce Department,AOC,Goods,3 bids,1
461,2020-2021,Industries and Commerce Department,AOC,Goods,4 and more bids,3
462,2020-2021,Industries and Commerce Department,AOC,Services,2 bids,1
463,2020-2021,Industries and Commerce Department,AOC,Services,3 bids,1
464,2020-2021,Industries and Commerce Department,AOC,Services,4 and more bids,3
465,2020-2021,Industries and Commerce Department,AOC,Works,2 bids,6
466,2020-2021,Industries and Commerce Department,AOC,Works,3 bids,7
467,2020-2021,Industries and Commerce Department,AOC,Works,4 and more bids,21
468,2020-2021,Industries and Commerce Department,Cancelled,Goods,0 bids,1
469,2020-2021,Industries and Commerce Department,Cancelled,Goods,1 bids,1
470,2020-2021,Industries and Commerce Department,Cancelled,Goods,2 bids,2
471,2020-2021,Industries and Commerce Department,Cancelled,Goods,4 and more bids,3
472,2020-2021,Industries and Commerce Department,Cancelled,Services,1 bids,1
473,2020-2021,Industries and Commerce Department,Cancelled,Services,2 bids,1
474,2020-2021,Industries and Commerce Department,Cancelled,Services,3 bids,2
475,2020-2021,Industries and Commerce Department,Cancelled,Works,2 bids,11
476,2020-2021,Industries and Commerce Department,Cancelled,Works,3 bids,11
477,2020-2021,Industries and Commerce Department,Cancelled,Works,4 and more bids,12
478,2020-2021,Industries and Commerce Department,Financial Bid Opening,Goods,2 bids,2
479,2020-2021,Industries and Commerce Department,Financial Bid Opening,Services,2 bids,1
480,2020-2021,Industries and Commerce Department,Financial Bid Opening,Works,4 and more bids,2
481,2020-2021,Industries and Commerce Department,Retender,Works,0 bids,2
482,2020-2021,Industries and Commerce Department,Retender,Works,2 bids,1
483,2020-2021,Industries and Commerce Department,Retender,Works,3 bids,2
484,2020-2021,Industries and Commerce Department,Retender,Works,4 and more bids,2
485,2020-2021,Industries and Commerce Department,Technical Evaluation,Goods,2 bids,1
486,2020-2021,Industries and Commerce Department,Technical Evaluation,Goods,4 and more bids,1
487,2020-2021,Industries and Commerce Department,To Be Opened,Works,0 bids,1
488,2020-2021,Information and Public Relations Department,AOC,Services,4 and more bids,1
489,2020-2021,Irrigation Department,AOC,Goods,2 bids,1
490,2020-2021,Irrigation Department,AOC,Goods,4 and more bids,1
491,2020-2021,Irrigation Department,AOC,Works,1 bids,3
492,2020-2021,Irrigation Department,AOC,Works,2 bids,2
493,2020-2021,Irrigation Department,AOC,Works,3 bids,4
494,2020-2021,Irrigation Department,AOC,Works,4 and more bids,17
495,2020-2021,Irrigation Department,Cancelled,Works,0 bids,4
496,2020-2021,Irrigation Department,Cancelled,Works,1 bids,1
497,2020-2021,Irrigation Department,Cancelled,Works,2 bids,2
498,2020-2021,Irrigation Department,Cancelled,Works,3 bids,5
499,2020-2021,Irrigation Department,Cancelled,Works,4 and more bids,3
500,2020-2021,Karbi Anglong Autonomous Council,AOC,Goods,4 and more bids,1
501,2020-2021,Karbi Anglong Autonomous Council,AOC,Works,2 bids,2
502,2020-2021,National Health Mission,AOC,Goods,3 bids,4
503,2020-2021,National Health Mission,AOC,Goods,4 and more bids,12
504,2020-2021,National Health Mission,AOC,Services,0 bids,1
505,2020-2021,National Health Mission,AOC,Services,2 bids,1
506,2020-2021,National Health Mission,AOC,Services,4 and more bids,1
507,2020-2021,National Health Mission,AOC,Works,2 bids,2
508,2020-2021,National Health Mission,AOC,Works,3 bids,7
509,2020-2021,National Health Mission,AOC,Works,4 and more bids,13
510,2020-2021,National Health Mission,Cancelled,Goods,0 bids,1
511,2020-2021,National Health Mission,Cancelled,Goods,4 and more bids,3
512,2020-2021,National Health Mission,Cancelled,Services,0 bids,1
513,2020-2021,National Health Mission,Cancelled,Works,3 bids,3
514,2020-2021,National Health Mission,Cancelled,Works,4 and more bids,4
515,2020-2021,National Health Mission,Financial Bid Opening,Works,2 bids,1
516,2020-2021,National Health Mission,Financial Bid Opening,Works,3 bids,1
517,2020-2021,National Health Mission,Financial Bid Opening,Works,4 and more bids,3
518,2020-2021,National Health Mission,Financial Evaluation,Goods,4 and more bids,2
519,2020-2021,National Health Mission,Financial Evaluation,Services,2 bids,1
520,2020-2021,National Health Mission,Financial Evaluation,Works,2 bids,2
521,2020-2021,National Health Mission,Financial Evaluation,Works,3 bids,2
522,2020-2021,National Health Mission,Financial Evaluation,Works,4 and more bids,8
523,2020-2021,National Health Mission,Retender,Works,4 and more bids,1
524,2020-2021,National Health Mission,Technical Evaluation,Goods,2 bids,1
525,2020-2021,National Health Mission,Technical Evaluation,Services,4 and more bids,1
526,2020-2021,National Health Mission,Technical Evaluation,Works,1 bids,1
527,2020-2021,National Health Mission,Technical Evaluation,Works,2 bids,2
528,2020-2021,National Health Mission,Technical Evaluation,Works,4 and more bids,9
529,2020-2021,Office of the Chief Electoral Officer Assam,AOC,Services,2 bids,1
530,2020-2021,Pollution Control Board,Retender,Works,4 and more bids,1
531,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,0 bids,1
532,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,2 bids,2
533,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,3 bids,1
534,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,4 and more bids,3
535,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,0 bids,5
536,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,1 bids,4
537,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,0 bids,6
538,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,1 bids,7
539,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,2 bids,3
540,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,4 and more bids,1
541,2020-2021,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,0 bids,1
542,2020-2021,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,2 bids,3
543,2020-2021,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,3 bids,4
544,2020-2021,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,4 and more bids,15
545,2020-2021,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Goods,3 bids,1
546,2020-2021,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Goods,4 and more bids,3
547,2020-2021,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Works,4 and more bids,1
548,2020-2021,Principal Secretary- P and RD- Assam Secretariat,Retender,Goods,2 bids,2
549,2020-2021,Principal Secretary- P and RD- Assam Secretariat,Retender,Goods,3 bids,2
550,2020-2021,Principal Secretary-Department of Information Technology,AOC,Services,4 and more bids,2
551,2020-2021,Principal Secretary-Department of Information Technology,AOC,Works,2 bids,1
552,2020-2021,Principal Secretary-Department of Information Technology,Cancelled,Goods,1 bids,1
553,2020-2021,Principal Secretary-Department of Information Technology,Cancelled,Goods,4 and more bids,1
554,2020-2021,Principal Secretary-Department of Information Technology,Cancelled,Works,0 bids,1
555,2020-2021,Public Health Engineering Department,AOC,Goods,4 and more bids,2
556,2020-2021,Public Health Engineering Department,AOC,Services,4 and more bids,2
557,2020-2021,Public Health Engineering Department,AOC,Works,2 bids,1
558,2020-2021,Public Health Engineering Department,AOC,Works,3 bids,2
559,2020-2021,Public Health Engineering Department,AOC,Works,4 and more bids,8
560,2020-2021,Public Health Engineering Department,Cancelled,Services,4 and more bids,4
561,2020-2021,Public Health Engineering Department,Cancelled,Works,2 bids,1
562,2020-2021,Public Health Engineering Department,Financial Evaluation,Goods,4 and more bids,1
563,2020-2021,Public Works Building and NH Department,AOC,Works,0 bids,1
564,2020-2021,Public Works Building and NH Department,AOC,Works,1 bids,25
565,2020-2021,Public Works Building and NH Department,AOC,Works,2 bids,57
566,2020-2021,Public Works Building and NH Department,AOC,Works,3 bids,49
567,2020-2021,Public Works Building and NH Department,AOC,Works,4 and more bids,36
568,2020-2021,Public Works Building and NH Department,Cancelled,Goods,2 bids,2
569,2020-2021,Public Works Building and NH Department,Cancelled,Works,1 bids,1
570,2020-2021,Public Works Building and NH Department,Cancelled,Works,2 bids,1
571,2020-2021,Public Works Building and NH Department,Cancelled,Works,3 bids,1
572,2020-2021,Public Works Building and NH Department,Cancelled,Works,4 and more bids,3
573,2020-2021,Public Works Building and NH Department,Financial Bid Opening,Works,1 bids,1
574,2020-2021,Public Works Building and NH Department,Financial Bid Opening,Works,2 bids,1
575,2020-2021,Public Works Building and NH Department,Financial Evaluation,Works,3 bids,2
576,2020-2021,Public Works Building and NH Department,Financial Evaluation,Works,4 and more bids,2
577,2020-2021,Public Works Building and NH Department,Retender,Works,2 bids,1
578,2020-2021,Public Works Building and NH Department,Retender,Works,3 bids,1
579,2020-2021,Public Works Building and NH Department,Technical Bid Opening,Works,3 bids,1
580,2020-2021,Public Works Roads Department,AOC,Services,4 and more bids,1
581,2020-2021,Public Works Roads Department,AOC,Works,0 bids,14
582,2020-2021,Public Works Roads Department,AOC,Works,1 bids,12
583,2020-2021,Public Works Roads Department,AOC,Works,2 bids,138
584,2020-2021,Public Works Roads Department,AOC,Works,3 bids,78
585,2020-2021,Public Works Roads Department,AOC,Works,4 and more bids,184
586,2020-2021,Public Works Roads Department,Cancelled,Works,0 bids,12
587,2020-2021,Public Works Roads Department,Cancelled,Works,1 bids,1
588,2020-2021,Public Works Roads Department,Cancelled,Works,2 bids,5
589,2020-2021,Public Works Roads Department,Cancelled,Works,3 bids,2
590,2020-2021,Public Works Roads Department,Cancelled,Works,4 and more bids,4
591,2020-2021,Public Works Roads Department,Financial Bid Opening,Works,2 bids,6
592,2020-2021,Public Works Roads Department,Financial Bid Opening,Works,3 bids,6
593,2020-2021,Public Works Roads Department,Financial Bid Opening,Works,4 and more bids,16
594,2020-2021,Public Works Roads Department,Financial Evaluation,Works,2 bids,2
595,2020-2021,Public Works Roads Department,Retender,Works,0 bids,2
596,2020-2021,Public Works Roads Department,Retender,Works,1 bids,1
597,2020-2021,Public Works Roads Department,Retender,Works,2 bids,3
598,2020-2021,Public Works Roads Department,Retender,Works,3 bids,2
599,2020-2021,Public Works Roads Department,Retender,Works,4 and more bids,2
600,2020-2021,Public Works Roads Department,Technical Bid Opening,Works,1 bids,1
601,2020-2021,Public Works Roads Department,Technical Evaluation,Works,1 bids,1
602,2020-2021,Public Works Roads Department,Technical Evaluation,Works,3 bids,4
603,2020-2021,Public Works Roads Department,Technical Evaluation,Works,4 and more bids,9
604,2020-2021,Rashtriya Madhyamik Siksha Abhijan,Cancelled,Goods,2 bids,1
605,2020-2021,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Services,4 and more bids,1
606,2020-2021,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Works,4 and more bids,1
607,2020-2021,Skill Employment and Entrepreneurship Department,AOC,Services,4 and more bids,2
608,2020-2021,Skill Employment and Entrepreneurship Department,Cancelled,Services,0 bids,1
609,2020-2021,Skill Employment and Entrepreneurship Department,Cancelled,Services,4 and more bids,2
610,2020-2021,Social Welfare Department,AOC,Goods,3 bids,1
611,2020-2021,Social Welfare Department,AOC,Goods,4 and more bids,1
612,2020-2021,Social Welfare Department,Cancelled,Goods,0 bids,1
613,2020-2021,Social Welfare Department,Cancelled,Works,4 and more bids,2
614,2020-2021,Soil Conservation Department,AOC,Works,2 bids,2
615,2020-2021,Soil Conservation Department,AOC,Works,3 bids,3
616,2020-2021,Soil Conservation Department,AOC,Works,4 and more bids,10
617,2020-2021,Soil Conservation Department,Retender,Works,1 bids,1
618,2020-2021,Tea Tribes Welfare Department,AOC,Goods,3 bids,1
619,2020-2021,Tea Tribes Welfare Department,Cancelled,Goods,3 bids,1
620,2020-2021,Transport Department,AOC,Services,3 bids,1
621,2020-2021,Transport Department,Financial Bid Opening,Goods,2 bids,1
622,2020-2021,Transport Department,Retender,Goods,4 and more bids,1
623,2020-2021,Transport Department,Retender,Services,1 bids,1
624,2020-2021,Transport Department,Technical Evaluation,Services,4 and more bids,1
625,2020-2021,Urban Development Department,AOC,Works,2 bids,11
626,2020-2021,Urban Development Department,AOC,Works,3 bids,8
627,2020-2021,Urban Development Department,AOC,Works,4 and more bids,6
628,2020-2021,Urban Development Department,Cancelled,Works,3 bids,1
629,2020-2021,Urban Development Department,Cancelled,Works,4 and more bids,2
630,2020-2021,Urban Development Department,Retender,Works,2 bids,2
631,2020-2021,Urban Development Department,Retender,Works,3 bids,1
632,2020-2021,Urban Development Department,Technical Bid Opening,Works,0 bids,4
633,2020-2021,Urban Development Department,Technical Bid Opening,Works,1 bids,1
634,2020-2021,Urban Development Department,Technical Evaluation,Works,3 bids,1
635,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Goods,2 bids,1
636,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Goods,3 bids,14
637,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Goods,4 and more bids,17
638,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Services,3 bids,1
639,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Services,4 and more bids,1
640,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,0 bids,14
641,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,2 bids,3
642,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,3 bids,7
643,2020-2021,Welfare of Plain Tribes and Backward Classes,AOC,Works,4 and more bids,4
644,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,0 bids,1
645,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,1 bids,1
646,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,3 bids,6
647,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,4 and more bids,10
648,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Services,4 and more bids,1
649,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,0 bids,9
650,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,2 bids,1
651,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,3 bids,1
652,2020-2021,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,4 and more bids,2
653,2020-2021,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,3 bids,2
654,2020-2021,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,4 and more bids,2
655,2020-2021,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,3 bids,4
656,2020-2021,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,4 and more bids,3
657,2020-2021,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,3 bids,2
658,2020-2021,Welfare of Plain Tribes and Backward Classes,Retender,Works,0 bids,1
659,2020-2021,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Goods,1 bids,1
660,2020-2021,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Goods,3 bids,1
661,2020-2021,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Works,0 bids,1
662,2020-2021,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Works,3 bids,1
663,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Goods,0 bids,2
664,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Goods,4 and more bids,1
665,2021-2022,ASSAM CANCER CARE FOUNDATION,AOC,Services,0 bids,3
666,2021-2022,Animal Husbandry and Veterinary Department,AOC,Goods,0 bids,2
667,2021-2022,Animal Husbandry and Veterinary Department,AOC,Works,0 bids,4
668,2021-2022,Animal Husbandry and Veterinary Department,AOC,Works,4 and more bids,3
669,2021-2022,Animal Husbandry and Veterinary Department,Cancelled,Goods,0 bids,1
670,2021-2022,Animal Husbandry and Veterinary Department,Cancelled,Works,0 bids,2
671,2021-2022,Animal Husbandry and Veterinary Department-Externally Aided Project,Cancelled,Goods,2 bids,1
672,2021-2022,Assam Agricultural University,AOC,Works,3 bids,1
673,2021-2022,Assam Agricultural University,AOC,Works,4 and more bids,1
674,2021-2022,Assam Electricity Grid Corporation Ltd,AOC,Goods,1 bids,1
675,2021-2022,Assam Electricity Grid Corporation Ltd,AOC,Goods,3 bids,2
676,2021-2022,Assam Electricity Grid Corporation Ltd,AOC,Works,0 bids,1
677,2021-2022,Assam Electricity Grid Corporation Ltd,AOC,Works,1 bids,2
678,2021-2022,Assam Electricity Grid Corporation Ltd,AOC,Works,4 and more bids,8
679,2021-2022,Assam Electricity Grid Corporation Ltd,Cancelled,Works,0 bids,1
680,2021-2022,Assam Electricity Grid Corporation Ltd,Cancelled,Works,3 bids,1
681,2021-2022,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Goods,0 bids,2
682,2021-2022,Assam Inland Water Transport Development Society,AOC,Services,0 bids,1
683,2021-2022,Assam Inland Water Transport Development Society,AOC,Services,4 and more bids,1
684,2021-2022,Assam Inland Water Transport Development Society,AOC,Works,3 bids,1
685,2021-2022,Assam Inland Water Transport Development Society,Technical Evaluation,Services,4 and more bids,1
686,2021-2022,Assam Police,Cancelled,Goods,3 bids,1
687,2021-2022,Assam Police,Cancelled,Services,4 and more bids,1
688,2021-2022,Assam Police,Financial Evaluation,Goods,3 bids,1
689,2021-2022,Assam Police,Technical Bid Opening,Goods,2 bids,1
690,2021-2022,Assam Police,Technical Bid Opening,Goods,3 bids,1
691,2021-2022,Assam Police,Technical Evaluation,Goods,4 and more bids,1
692,2021-2022,Assam Police Housing Corporation Ltd,AOC,Works,0 bids,3
693,2021-2022,Assam Police Housing Corporation Ltd,AOC,Works,2 bids,2
694,2021-2022,Assam Police Housing Corporation Ltd,AOC,Works,3 bids,2
695,2021-2022,Assam Police Housing Corporation Ltd,AOC,Works,4 and more bids,3
696,2021-2022,Assam Police Housing Corporation Ltd,Cancelled,Works,0 bids,5
697,2021-2022,Assam Police Housing Corporation Ltd,Cancelled,Works,1 bids,2
698,2021-2022,Assam Police Housing Corporation Ltd,Cancelled,Works,2 bids,1
699,2021-2022,Assam Police Housing Corporation Ltd,Cancelled,Works,3 bids,1
700,2021-2022,Assam Police Housing Corporation Ltd,Cancelled,Works,4 and more bids,3
701,2021-2022,Assam Police Housing Corporation Ltd,Technical Evaluation,Works,1 bids,1
702,2021-2022,Assam Police Housing Corporation Ltd,Technical Evaluation,Works,2 bids,2
703,2021-2022,Assam Police Housing Corporation Ltd,Technical Evaluation,Works,3 bids,2
704,2021-2022,Assam Police Housing Corporation Ltd,Technical Evaluation,Works,4 and more bids,3
705,2021-2022,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,4 and more bids,5
706,2021-2022,Assam Power Distribution Company Ltd,AOC,Goods,0 bids,1
707,2021-2022,Assam Power Distribution Company Ltd,AOC,Services,0 bids,4
708,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,0 bids,65
709,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,1 bids,1
710,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,2 bids,1
711,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,3 bids,4
712,2021-2022,Assam Power Distribution Company Ltd,AOC,Works,4 and more bids,11
713,2021-2022,Assam Power Distribution Company Ltd,Cancelled,Goods,4 and more bids,1
714,2021-2022,Assam Power Distribution Company Ltd,Cancelled,Services,2 bids,1
715,2021-2022,Assam Power Distribution Company Ltd,Cancelled,Services,4 and more bids,1
716,2021-2022,Assam Power Distribution Company Ltd,Cancelled,Works,0 bids,2
717,2021-2022,Assam Power Distribution Company Ltd,Cancelled,Works,4 and more bids,1
718,2021-2022,Assam Power Distribution Company Ltd,Financial Bid Opening,Services,0 bids,1
719,2021-2022,Assam Power Distribution Company Ltd,Technical Evaluation,Services,2 bids,1
720,2021-2022,Assam Power Generation Company Limited,AOC,Services,0 bids,2
721,2021-2022,Assam Power Generation Company Limited,AOC,Services,4 and more bids,1
722,2021-2022,Assam Power Generation Company Limited,AOC,Works,4 and more bids,1
723,2021-2022,Assam Power Generation Company Limited,Cancelled,Works,0 bids,1
724,2021-2022,Assam Power Generation Company Limited,Cancelled,Works,4 and more bids,1
725,2021-2022,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,0 bids,1
726,2021-2022,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,0 bids,2
727,2021-2022,Assam Science and Technology University,Cancelled,Goods,0 bids,1
728,2021-2022,Assam State Disaster Management Authority,AOC,Goods,3 bids,1
729,2021-2022,Assam State Disaster Management Authority,AOC,Goods,4 and more bids,1
730,2021-2022,Assam State Disaster Management Authority,AOC,Services,4 and more bids,1
731,2021-2022,Assam State Disaster Management Authority,Cancelled,Goods,4 and more bids,1
732,2021-2022,Assam State Transport Corporation,Cancelled,Services,2 bids,1
733,2021-2022,Axom Sarba Siksha Abhijan Mission,AOC,Goods,0 bids,1
